Chrom	Scaffold	Pos	Male_cM	Female_cM	cM
LG_10	Super-Scaffold_100008	4344624	15.711	12.104	13.9075
LG_10	Super-Scaffold_100008	4344625	15.711	12.104	13.9075
LG_10	Super-Scaffold_100008	4344634	15.711	12.104	13.9075
LG_10	Super-Scaffold_100008	4344655	15.711	12.104	13.9075
LG_10	Super-Scaffold_100008	4344696	15.711	12.104	13.9075
LG_10	Super-Scaffold_100008	4344759	15.711	12.104	13.9075
LG_10	Super-Scaffold_100008	4375739	17.361	12.923	15.142
LG_10	Super-Scaffold_100008	4375746	17.524	12.923	15.2235
LG_10	Super-Scaffold_100008	4375828	17.524	12.923	15.2235
LG_10	Super-Scaffold_100008	4601005	20.708	15.761	18.2345
LG_10	Super-Scaffold_100008	4607884	20.708	15.761	18.2345
LG_10	Super-Scaffold_100008	4607885	20.708	15.761	18.2345
LG_10	Super-Scaffold_100008	4707505	21.033	16.251	18.642
LG_10	Super-Scaffold_100008	4823287	22.017	16.904	19.4605
LG_10	Super-Scaffold_100008	4823531	22.017	16.904	19.4605
LG_10	Super-Scaffold_100008	4846288	22.671	17.888	20.2795
LG_10	Super-Scaffold_100008	4848968	22.671	18.051	20.361
LG_10	Super-Scaffold_100008	4848987	22.671	18.051	20.361
LG_10	Super-Scaffold_100008	4849127	22.671	18.051	20.361
LG_10	Super-Scaffold_100008	4899773	22.996	18.213	20.6045
LG_10	Super-Scaffold_100008	4899795	22.996	18.213	20.6045
LG_10	Super-Scaffold_100008	5328926	26.18	21.224	23.702
LG_10	Super-Scaffold_100008	5376395	26.506	21.55	24.028
LG_10	Super-Scaffold_100008	5649108	28.493	23.706	26.0995
LG_10	Super-Scaffold_100008	5649184	28.493	23.706	26.0995
LG_10	Super-Scaffold_100008	5665280	28.655	23.706	26.1805
LG_10	Super-Scaffold_100008	5825515	29.474	25.356	27.415
LG_10	Super-Scaffold_100008	5825579	29.474	25.356	27.415
LG_10	Super-Scaffold_100008	5844855	29.799	25.356	27.5775
LG_10	Super-Scaffold_100008	6002590	31.786	27.513	29.6495
LG_10	Super-Scaffold_100008	6002593	31.786	27.513	29.6495
LG_10	Super-Scaffold_100008	6015418	32.112	27.675	29.8935
LG_10	Super-Scaffold_100008	6235835	34.951	30.343	32.647
LG_10	Super-Scaffold_100008	6265944	35.114	30.505	32.8095
LG_10	Super-Scaffold_100008	6278858	35.114	30.505	32.8095
LG_10	Super-Scaffold_100008	6279927	35.114	30.668	32.891
LG_10	Super-Scaffold_100008	6355193	36.429	31.651	34.04
LG_10	Super-Scaffold_100008	6355224	36.429	31.651	34.04
LG_10	Super-Scaffold_100008	6427545	37.248	32.305	34.7765
LG_10	Super-Scaffold_100008	6456018	37.41	33.123	35.2665
LG_10	Super-Scaffold_100008	6463513	37.41	33.123	35.2665
LG_10	Super-Scaffold_100008	6522980	38.56	34.273	36.4165
LG_10	Super-Scaffold_100008	6751199	41.227	36.599	38.913
LG_10	Super-Scaffold_100008	6778712	42.046	37.252	39.649
LG_10	Super-Scaffold_100008	6803592	42.208	37.252	39.73
LG_10	Super-Scaffold_100008	6843789	42.534	37.742	40.138
LG_10	Super-Scaffold_100008	7048096	45.545	40.068	42.8065
LG_10	Super-Scaffold_100008	7674757	52.875	47.024	49.9495
LG_10	Super-Scaffold_100008	7674823	52.875	47.024	49.9495
LG_10	Super-Scaffold_100008	7674824	52.875	47.024	49.9495
LG_10	Super-Scaffold_100008	7674856	52.875	47.024	49.9495
LG_10	Super-Scaffold_100008	7692663	53.529	47.349	50.439
LG_10	Super-Scaffold_100008	7794080	54.844	48.499	51.6715
LG_10	Super-Scaffold_100008	7800825	54.844	48.661	51.7525
LG_10	Super-Scaffold_100008	7801091	54.844	48.661	51.7525
LG_10	Super-Scaffold_100008	7812012	55.17	48.824	51.997
LG_10	Super-Scaffold_100008	8006305	58.181	52.008	55.0945
LG_10	Super-Scaffold_100008	8193313	61.192	54.675	57.9335
LG_10	Super-Scaffold_100008	8338470	62.176	55.659	58.9175
LG_10	Super-Scaffold_100008	8345728	62.176	55.659	58.9175
LG_10	Super-Scaffold_100008	8437509	65.533	58.155	61.844
LG_10	Super-Scaffold_100008	8580397	68.2	60.481	64.3405
LG_10	Super-Scaffold_100008	8580407	68.2	60.481	64.3405
LG_10	Super-Scaffold_100008	8580408	68.2	60.481	64.3405
LG_10	Super-Scaffold_100008	8580688	68.2	60.643	64.4215
LG_10	Super-Scaffold_100008	8600021	68.2	60.643	64.4215
LG_10	Super-Scaffold_100008	8651752	68.689	60.969	64.829
LG_10	Super-Scaffold_100008	8710761	68.852	61.295	65.0735
LG_10	Super-Scaffold_100008	8760397	69.178	61.295	65.2365
LG_10	Super-Scaffold_100008	8760640	69.178	61.295	65.2365
LG_10	Super-Scaffold_100008	8760641	69.178	61.295	65.2365
LG_10	Super-Scaffold_100008	8760706	69.178	61.295	65.2365
LG_10	Super-Scaffold_100008	8935101	69.831	61.621	65.726
LG_10	Super-Scaffold_100008	8935112	69.831	61.621	65.726
LG_10	Super-Scaffold_100008	8935154	69.831	61.621	65.726
LG_10	Super-Scaffold_100008	8935182	69.831	61.621	65.726
LG_10	Super-Scaffold_100008	9384771	72.842	63.439	68.1405
LG_10	Super-Scaffold_100008	9436150	73.168	63.928	68.548
LG_10	Super-Scaffold_100008	9613080	74.986	65.244	70.115
LG_10	Super-Scaffold_100008	9613222	74.986	65.407	70.1965
LG_10	Super-Scaffold_100008	9720619	77.483	67.733	72.608
LG_10	Super-Scaffold_100008	9787824	77.645	67.896	72.7705
LG_10	Super-Scaffold_100008	9859184	77.971	68.714	73.3425
LG_10	Super-Scaffold_100008	9859206	77.971	68.714	73.3425
LG_10	Super-Scaffold_100008	9859264	77.971	68.714	73.3425
LG_10	Super-Scaffold_100008	9891384	78.46	69.04	73.75
LG_10	Super-Scaffold_100008	9891417	78.46	69.04	73.75
LG_10	Super-Scaffold_100008	9891425	78.46	69.04	73.75
LG_10	Super-Scaffold_100008	9960750	78.786	69.202	73.994
LG_10	Super-Scaffold_100008	10189952	80.102	70.352	75.227
LG_10	Super-Scaffold_100008	10266211	81.252	71.005	76.1285
LG_10	Super-Scaffold_100008	10294069	81.252	71.005	76.1285
LG_10	Super-Scaffold_100008	10294109	81.252	71.005	76.1285
LG_10	Super-Scaffold_100008	10467477	82.567	72.155	77.361
LG_10	Super-Scaffold_100008	10467483	82.567	72.155	77.361
LG_10	Super-Scaffold_100008	10467507	82.567	72.155	77.361
LG_10	Super-Scaffold_100008	10467512	82.567	72.155	77.361
LG_10	Super-Scaffold_100008	10481273	82.567	72.155	77.361
LG_10	Super-Scaffold_100008	10481482	82.567	72.155	77.361
LG_10	Super-Scaffold_100008	10481508	82.73	72.155	77.4425
LG_10	Super-Scaffold_100008	10819020	82.73	72.155	77.4425
LG_10	Super-Scaffold_100008	10819031	82.73	72.155	77.4425
LG_10	Super-Scaffold_100008	10890955	82.73	72.155	77.4425
LG_10	Super-Scaffold_100008	10891097	82.73	72.155	77.4425
LG_10	Super-Scaffold_100008	10928988	82.73	72.155	77.4425
LG_10	Super-Scaffold_100008	11023135	82.73	72.155	77.4425
LG_10	Super-Scaffold_100008	11044493	82.73	72.155	77.4425
LG_10	Super-Scaffold_100008	11135900	82.73	72.155	77.4425
LG_10	Super-Scaffold_100008	11254926	82.73	72.155	77.4425
LG_10	Super-Scaffold_100008	11255037	82.73	72.155	77.4425
LG_10	Super-Scaffold_100008	11369627	82.73	72.155	77.4425
LG_10	Super-Scaffold_100008	11546255	82.73	72.155	77.4425
LG_10	Super-Scaffold_100008	11546287	82.73	72.155	77.4425
LG_10	Super-Scaffold_100008	11585099	82.73	72.155	77.4425
LG_10	Super-Scaffold_100008	11835274	85.226	73.973	79.5995
LG_10	Super-Scaffold_100008	11835285	85.226	73.973	79.5995
LG_10	Super-Scaffold_100008	11835501	85.226	73.973	79.5995
LG_10	Super-Scaffold_100008	12023417	86.709	75.96	81.3345
LG_10	Super-Scaffold_100008	12672145	88.025	76.944	82.4845
LG_10	Super-Scaffold_100008	12762595	88.514	77.106	82.81
LG_10	Super-Scaffold_100008	12762623	88.514	77.106	82.81
LG_10	Super-Scaffold_100008	12762648	88.514	77.106	82.81
LG_10	Super-Scaffold_100008	12773014	88.514	77.106	82.81
LG_10	Super-Scaffold_100008	12812229	88.677	77.269	82.973
LG_10	Super-Scaffold_100008	12812247	88.677	77.269	82.973
LG_10	Super-Scaffold_100008	12893669	88.677	77.269	82.973
LG_10	Super-Scaffold_100008	13120486	89.166	78.087	83.6265
LG_10	Super-Scaffold_100008	13184815	89.329	78.25	83.7895
LG_10	Super-Scaffold_100008	13228409	89.492	78.25	83.871
LG_10	Super-Scaffold_100008	13373823	89.492	78.25	83.871
LG_10	Super-Scaffold_100008	13388279	89.492	78.25	83.871
LG_10	Super-Scaffold_100008	13388457	89.492	78.25	83.871
LG_10	Super-Scaffold_100008	13388470	89.492	78.25	83.871
LG_10	Super-Scaffold_100028	98959	89.492	78.25	83.871
LG_10	Super-Scaffold_100028	1143580	90.145	78.904	84.5245
LG_10	Super-Scaffold_100028	1143592	90.145	78.904	84.5245
LG_10	Super-Scaffold_100028	1144761	90.145	78.904	84.5245
LG_10	Super-Scaffold_100028	1144775	90.145	78.904	84.5245
LG_10	Super-Scaffold_100028	1144947	90.145	79.229	84.687
LG_10	Super-Scaffold_100028	1325966	91.295	79.719	85.507
LG_10	Super-Scaffold_100028	1326189	91.295	79.719	85.507
LG_10	Super-Scaffold_100028	1462449	92.778	81.537	87.1575
LG_10	Super-Scaffold_100028	2048359	94.26	82.687	88.4735
LG_10	Super-Scaffold_100028	2086847	94.26	82.687	88.4735
LG_10	Super-Scaffold_100028	2308213	94.26	82.687	88.4735
LG_10	Super-Scaffold_100028	2324354	94.26	82.687	88.4735
LG_10	Super-Scaffold_100028	2324357	94.26	82.687	88.4735
LG_10	Super-Scaffold_100028	2328453	94.26	82.687	88.4735
LG_10	Super-Scaffold_100028	2328487	94.26	82.687	88.4735
LG_10	Super-Scaffold_100028	2671163	94.423	83.012	88.7175
LG_10	Super-Scaffold_100028	2671251	94.423	83.012	88.7175
LG_10	Super-Scaffold_100028	3231558	95.572	84.162	89.867
LG_10	Super-Scaffold_100028	3405618	95.735	84.162	89.9485
LG_10	Super-Scaffold_100028	3783712	95.735	84.162	89.9485
LG_10	Super-Scaffold_100028	4055124	95.735	84.162	89.9485
LG_10	Super-Scaffold_100028	4768032	96.061	84.162	90.1115
LG_10	Super-Scaffold_100028	4768080	96.061	84.324	90.1925
LG_10	Super-Scaffold_100028	4892349	98.048	85.474	91.761
LG_10	Super-Scaffold_100028	4968955	98.048	85.474	91.761
LG_10	Super-Scaffold_100028	5575147	100.204	88.141	94.1725
LG_10	Super-Scaffold_100028	5575187	100.204	88.304	94.254
LG_10	Super-Scaffold_100028	5668308	101.188	88.793	94.9905
LG_10	Super-Scaffold_100028	5779907	101.677	89.119	95.398
LG_10	Super-Scaffold_100028	5896867	102.661	89.937	96.299
LG_10	Super-Scaffold_100028	5945615	103.479	90.756	97.1175
LG_10	Super-Scaffold_100028	5945806	103.479	90.756	97.1175
LG_10	Super-Scaffold_100028	6021257	103.968	91.245	97.6065
LG_10	Super-Scaffold_100028	6300824	106.125	93.232	99.6785
LG_10	Super-Scaffold_100028	6905839	106.45	93.558	100.004
LG_10	Super-Scaffold_100028	6907381	106.613	93.72	100.1665
LG_10	Super-Scaffold_100028	6907409	106.613	93.72	100.1665
LG_10	Super-Scaffold_100028	6999794	106.613	93.72	100.1665
LG_10	Super-Scaffold_100028	7040975	107.267	94.704	100.9855
LG_10	Super-Scaffold_100028	7743707	111.676	98.235	104.9555
LG_10	Super-Scaffold_100028	7743772	111.676	98.235	104.9555
LG_10	Super-Scaffold_100023	16706	112.33	98.397	105.3635
LG_10	Super-Scaffold_100023	98523	112.819	98.56	105.6895
LG_10	Super-Scaffold_100023	244010	113.803	98.886	106.3445
LG_10	Super-Scaffold_100023	244032	113.803	98.886	106.3445
LG_10	Super-Scaffold_100023	451246	114.456	99.212	106.834
LG_10	Super-Scaffold_100023	451257	114.456	99.212	106.834
LG_10	Super-Scaffold_100023	451262	114.456	99.212	106.834
LG_10	Super-Scaffold_100023	451460	114.456	99.212	106.834
LG_10	Super-Scaffold_100023	474633	114.619	99.212	106.9155
LG_10	Super-Scaffold_100023	566319	115.108	99.374	107.241
LG_10	Super-Scaffold_100023	734614	116.424	100.524	108.474
LG_10	Super-Scaffold_100023	773708	116.424	100.686	108.555
LG_10	Super-Scaffold_100023	920144	117.243	101.505	109.374
LG_10	Super-Scaffold_100023	920317	117.405	101.505	109.455
LG_10	Super-Scaffold_100023	1135085	118.721	102.158	110.4395
LG_10	Super-Scaffold_100023	1135169	118.721	102.158	110.4395
LG_10	Super-Scaffold_100023	1135766	118.721	102.158	110.4395
LG_10	Super-Scaffold_100023	1359739	118.721	102.158	110.4395
LG_10	Super-Scaffold_100023	1359767	118.721	102.158	110.4395
LG_10	Super-Scaffold_100023	1447090	119.211	102.158	110.6845
LG_10	Super-Scaffold_100023	1467033	119.211	102.158	110.6845
LG_10	Super-Scaffold_100023	1495251	119.211	102.158	110.6845
LG_10	Super-Scaffold_100023	1495352	119.211	102.158	110.6845
LG_10	Super-Scaffold_100023	1502374	119.211	102.158	110.6845
LG_10	Super-Scaffold_100023	1538623	119.211	102.321	110.766
LG_10	Super-Scaffold_100023	1538653	119.211	102.321	110.766
LG_10	Super-Scaffold_100023	1584355	119.211	102.647	110.929
LG_10	Super-Scaffold_100023	1790915	120.861	104.129	112.495
LG_10	Super-Scaffold_100023	1859873	121.514	104.948	113.231
LG_10	Super-Scaffold_100023	1886650	122.168	106.264	114.216
LG_10	Super-Scaffold_100023	1921116	122.822	107.082	114.952
LG_10	Super-Scaffold_100023	1982339	123.147	107.244	115.1955
LG_10	Super-Scaffold_100023	1984718	123.147	107.244	115.1955
LG_10	Super-Scaffold_100023	1984719	123.147	107.244	115.1955
LG_10	Super-Scaffold_100023	1984794	123.147	107.244	115.1955
LG_10	Super-Scaffold_100023	2000452	123.147	107.57	115.3585
LG_10	Super-Scaffold_100023	2448737	127.913	111.101	119.507
LG_10	Super-Scaffold_100023	2632493	129.062	112.085	120.5735
LG_10	Super-Scaffold_100023	2649971	129.062	112.085	120.5735
LG_10	Super-Scaffold_100023	2690556	131.388	113.903	122.6455
LG_10	Super-Scaffold_100023	2865808	133.714	115.89	124.802
LG_10	Super-Scaffold_100023	2865824	133.714	115.89	124.802
LG_10	Super-Scaffold_100023	2865844	133.714	115.89	124.802
LG_10	Super-Scaffold_100023	2901489	134.204	115.89	125.047
LG_10	Super-Scaffold_100023	2914377	134.53	116.216	125.373
LG_10	Super-Scaffold_100023	3155681	137.026	118.203	127.6145
LG_10	Super-Scaffold_100023	3171823	137.026	118.365	127.6955
LG_10	Super-Scaffold_100023	3210570	137.189	118.691	127.94
LG_10	Super-Scaffold_100023	3342520	138.504	119.345	128.9245
LG_10	Super-Scaffold_100023	3577901	140.491	121.841	131.166
LG_10	Super-Scaffold_100023	3695080	140.654	122.331	131.4925
LG_10	Super-Scaffold_100023	3707914	141.308	122.331	131.8195
LG_10	Super-Scaffold_100023	3818619	142.126	122.984	132.555
LG_10	Super-Scaffold_100023	3818636	142.126	122.984	132.555
LG_10	Super-Scaffold_100023	4081406	144.793	125.651	135.222
LG_10	Super-Scaffold_100023	4633971	149.738	130.596	140.167
LG_10	Super-Scaffold_100023	4763407	150.887	131.912	141.3995
LG_10	Super-Scaffold_100023	4781336	151.705	132.73	142.2175
LG_10	Super-Scaffold_100023	4781563	151.705	132.73	142.2175
LG_10	Super-Scaffold_100023	4781605	151.705	132.73	142.2175
LG_10	Super-Scaffold_100023	5051016	153.692	133.384	143.538
LG_10	Super-Scaffold_100023	5051096	153.855	133.384	143.6195
LG_10	Super-Scaffold_100023	5163374	155.171	134.202	144.6865
LG_10	Super-Scaffold_100023	5476483	158.702	137.907	148.3045
LG_10	Super-Scaffold_100023	5487509	159.851	138.233	149.042
LG_10	Super-Scaffold_100023	5583373	161.167	140.052	150.6095
LG_10	Super-Scaffold_100023	5684497	161.33	140.214	150.772
LG_10	Super-Scaffold_100023	5684538	161.33	140.214	150.772
LG_10	Super-Scaffold_100023	5792089	162.479	141.364	151.9215
LG_10	Super-Scaffold_100023	5898714	164.298	143.182	153.74
LG_10	Super-Scaffold_100023	5898719	164.298	143.182	153.74
LG_10	Super-Scaffold_100023	5898918	164.298	143.182	153.74
LG_10	Super-Scaffold_100023	5898939	164.298	143.182	153.74
LG_10	Super-Scaffold_100023	6105833	167.136	145.849	156.4925
LG_10	Super-Scaffold_100023	6336645	169.633	147.836	158.7345
LG_10	Super-Scaffold_100023	6341427	169.795	147.999	158.897
LG_10	Super-Scaffold_100023	6727416	173.152	152.232	162.692
LG_10	Super-Scaffold_100023	6768777	173.152	152.232	162.692
LG_10	Super-Scaffold_100023	6770510	173.152	152.232	162.692
LG_10	Super-Scaffold_100023	6818625	173.478	152.557	163.0175
LG_10	Super-Scaffold_100023	6818739	173.478	152.557	163.0175
LG_10	Super-Scaffold_100023	6827207	173.641	152.557	163.099
LG_10	Super-Scaffold_100023	6827226	173.641	152.557	163.099
LG_10	Super-Scaffold_100023	6840628	174.79	152.557	163.6735
LG_10	Super-Scaffold_100023	6840650	174.79	152.557	163.6735
LG_10	Super-Scaffold_100023	6840697	174.79	152.72	163.755
LG_10	Super-Scaffold_100023	6840777	174.79	152.72	163.755
LG_10	Super-Scaffold_100023	6840796	174.79	152.72	163.755
LG_10	Super-Scaffold_100023	6841509	175.444	153.209	164.3265
LG_10	Super-Scaffold_100023	6841511	175.444	153.209	164.3265
LG_10	Super-Scaffold_100023	6841641	175.444	153.209	164.3265
LG_10	Super-Scaffold_100023	6865568	175.444	153.209	164.3265
LG_10	Super-Scaffold_100023	6865733	175.444	153.209	164.3265
LG_10	Super-Scaffold_100023	6929735	176.593	154.359	165.476
LG_10	Super-Scaffold_100023	7101005	178.076	155.675	166.8755
LG_10	Super-Scaffold_100023	7101232	178.076	155.675	166.8755
LG_10	Super-Scaffold_100023	7421579	181.957	158.171	170.064
LG_10	Super-Scaffold_100023	7464605	182.282	158.497	170.3895
LG_10	Super-Scaffold_100023	7478723	182.608	158.986	170.797
LG_10	Super-Scaffold_100023	7626025	183.426	159.805	171.6155
LG_10	Super-Scaffold_100023	7830266	184.742	160.954	172.848
LG_10	Super-Scaffold_100023	7854250	184.905	161.117	173.011
LG_10	Super-Scaffold_100023	7854257	184.905	161.117	173.011
LG_10	Super-Scaffold_100023	7854300	184.905	161.117	173.011
LG_10	Super-Scaffold_100023	7903874	185.394	161.442	173.418
LG_10	Super-Scaffold_100023	7903900	185.394	161.442	173.418
LG_10	Super-Scaffold_100023	7932398	185.394	161.605	173.4995
LG_10	Super-Scaffold_100023	8218700	188.062	164.789	176.4255
LG_10	Super-Scaffold_100023	8218757	188.062	164.789	176.4255
LG_10	Super-Scaffold_100023	8472477	189.211	166.776	177.9935
LG_10	Super-Scaffold_100023	8545354	189.537	166.776	178.1565
LG_10	Super-Scaffold_100023	8582576	190.026	167.429	178.7275
LG_10	Super-Scaffold_100023	8582749	190.026	167.429	178.7275
LG_10	Super-Scaffold_100023	8678272	190.352	167.919	179.1355
LG_10	Super-Scaffold_100023	8824645	190.515	167.919	179.217
LG_10	Super-Scaffold_100023	8824802	190.515	167.919	179.217
LG_10	Super-Scaffold_100023	8857921	190.84	168.244	179.542
LG_10	Super-Scaffold_100023	8857952	190.84	168.244	179.542
LG_10	Super-Scaffold_100023	8857965	190.84	168.244	179.542
LG_10	Super-Scaffold_100023	8885883	191.166	168.244	179.705
LG_10	Super-Scaffold_100023	8885962	191.166	168.244	179.705
LG_10	Super-Scaffold_100023	8885980	191.166	168.244	179.705
LG_10	Super-Scaffold_100023	8885986	191.166	168.244	179.705
LG_10	Super-Scaffold_100023	8885987	191.166	168.244	179.705
LG_10	Super-Scaffold_100023	8886010	191.166	168.244	179.705
LG_10	Super-Scaffold_100023	8886013	191.166	168.244	179.705
LG_10	Super-Scaffold_100023	8886016	191.166	168.244	179.705
LG_10	Super-Scaffold_100023	8886017	191.166	168.244	179.705
LG_10	Super-Scaffold_100023	8886023	191.166	168.244	179.705
LG_10	Super-Scaffold_100023	8886034	191.166	168.244	179.705
LG_10	Super-Scaffold_100023	9165461	191.329	168.407	179.868
LG_10	Super-Scaffold_100023	9165577	191.329	168.407	179.868
LG_10	Super-Scaffold_100023	9340374	191.982	169.391	180.6865
LG_10	Super-Scaffold_100023	9438676	193.298	171.041	182.1695
LG_10	Super-Scaffold_100023	9438733	193.298	171.041	182.1695
LG_10	Super-Scaffold_100023	9438753	193.298	171.041	182.1695
LG_11	Super-Scaffold_100016	10627700	0	0	0
LG_11	Super-Scaffold_100016	10627613	0	0.163	0.0815
LG_11	Super-Scaffold_100016	10621688	0	0.488	0.244
LG_11	Super-Scaffold_100016	10605159	0	0.488	0.244
LG_11	Super-Scaffold_100016	10605152	0	0.488	0.244
LG_11	Super-Scaffold_100016	10605122	0	0.488	0.244
LG_11	Super-Scaffold_100016	10600911	0.489	0.651	0.57
LG_11	Super-Scaffold_100016	10600889	0.489	0.651	0.57
LG_11	Super-Scaffold_100016	10600880	0.489	0.651	0.57
LG_11	Super-Scaffold_100016	10595357	0.489	0.814	0.6515
LG_11	Super-Scaffold_100016	10595343	0.489	0.814	0.6515
LG_11	Super-Scaffold_100016	10595314	0.489	0.814	0.6515
LG_11	Super-Scaffold_100016	10595196	0.489	0.814	0.6515
LG_11	Super-Scaffold_100016	10591694	0.815	1.139	0.977
LG_11	Super-Scaffold_100016	10524740	1.141	1.139	1.14
LG_11	Super-Scaffold_100016	10524738	1.141	1.139	1.14
LG_11	Super-Scaffold_100016	10524693	1.141	1.139	1.14
LG_11	Super-Scaffold_100016	10524692	1.141	1.139	1.14
LG_11	Super-Scaffold_100016	10524665	1.141	1.139	1.14
LG_11	Super-Scaffold_100016	10524612	1.141	1.139	1.14
LG_11	Super-Scaffold_100016	10524608	1.141	1.139	1.14
LG_11	Super-Scaffold_100016	10524490	1.467	1.139	1.303
LG_11	Super-Scaffold_100016	10524457	1.467	1.139	1.303
LG_11	Super-Scaffold_100016	10524447	1.467	1.139	1.303
LG_11	Super-Scaffold_100016	10524427	1.467	1.139	1.303
LG_11	Super-Scaffold_100016	10524296	1.467	1.139	1.303
LG_11	Super-Scaffold_100016	10524282	1.467	1.139	1.303
LG_11	Super-Scaffold_100016	10524260	1.467	1.139	1.303
LG_11	Super-Scaffold_100016	10491143	1.629	1.139	1.384
LG_11	Super-Scaffold_100016	10302976	2.448	1.629	2.0385
LG_11	Super-Scaffold_100016	10178962	2.448	1.629	2.0385
LG_11	Super-Scaffold_100016	10178956	2.448	1.629	2.0385
LG_11	Super-Scaffold_100016	10177947	2.448	1.629	2.0385
LG_11	Super-Scaffold_100016	10177709	2.448	1.629	2.0385
LG_11	Super-Scaffold_100016	10155250	2.61	1.791	2.2005
LG_11	Super-Scaffold_100016	10008266	3.1	2.117	2.6085
LG_11	Super-Scaffold_100016	9817656	4.249	3.266	3.7575
LG_11	Super-Scaffold_100016	9817574	4.249	3.266	3.7575
