Date	Time	Sp	Ind	Infl_pos	Cor_Width	Cor_Throat	Cor_Base	Cor_Len	Cor_Th_Len	Cor_Len_Var	Sepal_Len	Min_Fil_Len	Max_Fil_Len	Pistil_Len	Ovary_Height	Stigma_Height			
3/30/18	9:37:00	F5	39	1	25.23	6.58	2.36	24.93	15.6	29.68	11.39	14.89	18.84	16.67	1.62	0.93		ph	
2/14/18	9:45:00	F5	39	2	24.85	6.8	2.39	23.32	15.29	28.7	11.1	14.31	17.35	15.45	1.68	0.96		ph	
3/15/18	11:06:00	F5	39	1	22.68	6.15	2.21	21.23	15.02	26.08	11.1	13.9	16.64	15.52	1.49	0.99		ph	
1/15/18	9:04:00	F5	43	1	23.6	6.58	2.77	25.69	16.1	29.07	11.37	13.7	16.01	14.6	1.44	1.03		Ph	
10/30/17	9:36:00	F5	43	1	19.57	7.16	3.22	24.82	17.32	27.51	9.7	15.16	18.42	15.88	1.67	1.08			
1/14/18	11:29:00	F5	43	1	23.76	7.3	2.58	23.33	17.61	28.68	11.02	13.77	16.4	15.02	1.62	1.02		ph	
2/7/18	10:25:00	F5	47	1	19.85	6.26	2.43	20.43	13.61	22.85	10.59	12.82	14.43	14.46	1.41	0.85		pgh	
1/30/18	11:17:00	F5	47	2	22.31	6.5	2.35	23.35	15.12	26.17	10.88	14.04	15.42	14.68	1.42	0.92		pgh	
1/14/18	11:32:00	F5	47	1	24.71	6.68	2.59	23.96	15.52	28.41	13.3	14.21	16.43	15.2	1.4	0.84		pgh	
1/31/18	9:32:00	F5	50	1	20.76	6.19	2.3	21.26	12.37	24.6	9.51	11.61	14.46	14.21	1.48	0.95		Pgh	
1/30/18	11:20:00	F5	50	1	19.67	6.05	2.23	19.59	13.83	23.77	10.89	11.81	14.29	13.98	1.5	0.95		pgh	
1/14/18	11:35:00	F5	50	1	21.82	7.09	2.48	20.98	14.66	25.04	12.82	12.26	15.05	15.25	1.61	0.91		gh	
1/31/18	9:35:00	C	52	1	27.06	6.73	2.62	23.59	15.52	30.07	10.63	15.63	19.01	16.37	1.46	1.22		ph	
2/16/18	9:38:00	C	52	1	28.66	6.95	2.74	26.09	17.2	31.9	10.85	16.13	19.43	15.8	1.69	1.15		Ph	
2/14/18	9:49:00	C	52	2	26.78	6.82	2.49	26.07	17.03	31.57	11.27	16.21	19.61	15.88	1.37	0.97		ph	
10/30/17	9:40:00	F5	54	1	20.72	6.54	2.68	24.28	15.99	28.17	10.47	13.53	16.87	12.96	1.39	1.08			
1/3/18	9:45:00	F5	54	1	21.45	6.59	2.47	23.8	15.55	27.71	11.23	13.72	16.46	14.79	1.5	0.94			
11/5/17	12:00:00	F5	54	1	21.89	6.25	2.45	25.32	16.4	28.75	10.9	14.61	17.61	15.64	1.54	1.04			
10/30/17	9:45:00	F5	56	1	27.28	8.06	3.03	24.67	17.36	30.88	10.24	16.42	19.21	14.68	1.97	1.04			
12/3/17	10:44:00	F5	56	1	25.39	7.18	2.77	25.9	16.74	30.24	10.95	15.25	18.62	13.64	1.61	0.93	np		
11/26/17	11:29:00	F5	56	1	23.76	6.79	2.79	24.35	15.77	29.22	11.21	14.09	17.12	11.92	2	1.07	nonpollen		
11/22/17	11:26:00	F5	57	1	22.34	7.17	2.52	25.12	14.2	27.34	11.63	13.97	16.47	13.97	1.57	0.96			
11/11/17	11:31:00	F5	57	1	23.6	6.63	2.46	24.87	13.72	28.32	11.22	14.63	17.15	14.6	1.76	1.14			
11/14/17	12:00:00	F5	57	1	24.82	7.39	2.64	25.11	16	28.87	11.32	15.89	17.62	15.23	1.84	1.13			
2/14/18	9:52:00	F5	60	2	22.88	7.86	2.72	24.04	16	28.33	10.14	14.3	16.95	14.77	1.49	0.9		wh	
3/18/18	11:23:00	F5	60	1	19.93	6.45	2.55	22.5	13.62	26.02	9.64	14.76	17.64	14.66	1.53	1		wh	
1/30/18	11:24:00	F5	60	2	23.42	6.97	2.58	24.13	16.13	27.63	10.2	14.04	17.33	14.44	1.5	1.04		wh	
2/8/18	10:44:00	F5	61	1	19.04	6.07	2.93	22.65	14.3	25.18	10.98	11.7	14.61	14.27	1.49	0.97		wh	
1/30/18	11:27:00	F5	61	2	21.12	6.08	2.57	23.57	14.03	26.15	10.89	12.79	14.78	14.23	1.57	1		wh	
1/14/18	11:38:00	F5	61	1	19.95	6.62	3.08	22.89	14.59	26.45	11.88	12.36	15.24	14.06	1.41	1.07		wh	
2/16/18	9:41:00	F5	64	1	18.37	5.74	2.55	24.28	15.59	26.69	11.05	14.62	17.43	14.75	1.43	1		gh	
2/14/18	9:59:00	F5	64	1	20.08	5.6	2.36	23.82	16.08	26.94	9.84	14.8	17.21	13.44	1.41	0.97		gh	
1/30/18	11:30:00	F5	64	1	19.66	6.39	2.31	22.65	15.85	25.81	10.68	14.38	16.88	13.37	1.42	0.93		wh	
3/26/18	9:58:00	F5	70	1	18.89	5.45	2.76	20.64	13.86	23.95	11.22	11.42	14.02	12.28	1.31	0.96		ph	np
4/4/18	10:51:00	F5	70	1	21.5	5.93	2.57	21.14	13.76	25.09	10.4	12.68	15.1	12.75	1.53	0.98		ph	
3/18/18	11:27:00	F5	70	1	22.12	6.91	2.52	21.05	13.65	26.08	11.71	12.21	14.11	12.73	1.38	1.08		ph	
3/7/18	9:45:00	F5	81	1	21.75	6.92	2.78	23.83	15.35	27.61	11.16	13.97	15.92	15.38	1.56	0.96		gh	
3/4/18	11:22:00	F5	81	1	19.08	6.36	2.6	22.29	15.94	25.38	10.73	13.21	15.53	15.97	1.32	1.01		gh	
3/6/18	11:28:00	F5	81	1	19.96	6.33	2.81	22.87	15.74	26.38	10.64	14.34	16.43	16.99	1.65	1.02		gh	
2/28/18	9:35:00	F5	84	1	23.11	6.62	2.75	25.22	15.72	28.61	13.58	13.3	16.05	15.05	1.62	1.01		wh	
3/7/18	9:49:00	F5	84	1	21.78	6.61	2.7	21.92	13.96	26.74	11.77	12.91	15.43	14.6	1.46	0.96		wh	
11/28/17	9:59:00	F5	84	1	24.46	7.81	2.78	26.88	16.22	29.71	12.81	14.86	16.74	16.5	1.98	1.16			
1/31/18	9:44:00	F5	89	1	24.44	7.24	2.82	23.28	14.83	28.58	12.41	13.31	15.7	15.93	1.56	1		wh	
1/30/18	10:11:00	F5	89	1	21.69	6.23	2.67	22.95	14.03	25.13	11.72	11.83	14.66	16.16	1.4	0.99		wh	
1/14/18	11:53:00	F5	89	1	25.03	8.01	2.62	25.59	15.54	29.43	12.71	12.96	15.84	16.43	1.74	0.94		wh	
4/12/18	9:53:00	F5	90	1	24.98	6.81	2.84	23.14	12.52	28.17	10.99	12.28	14.22	13.06	1.44	0.99		Pgh	"4anthers, 1mal"
4/25/18	10:18:00	F5	90	1	24.64	6.34	2.77	23.15	14.01	29.79	10.27	12.06	14.72	10.83	1.39	0.98		pgh	"np, trilobed"
4/22/18	11:58:00	F5	90	1	25.22	6.45	2.89	21.83	14.06	27.66	10.58	11.76	14.16	12.11	1.34	0.84		pgh	trilobed
1/31/18	9:47:00	F5	95	2	19.35	6.01	2.6	18.82	11.96	22.46	11	12.41	14.36	13.13	1.39	0.86		gh	
11/18/17	10:14:00	F5	95	1	20.48	5.7	2.59	21.12	13.02	24.72	12	12.93	14.85	13.08	1.74	0.95			
2/8/18	11:57:00	F5	95	1	23.03	5.95	2.66	23.54	15.3	27.83	11.96	13.93	16.71	13.09	1.77	0.95		gh	
1/31/18	9:51:00	F5	98	1	22.22	6.75	2.48	19.43	12.92	24.59	12.47	11.8	14.67	13	1.37	0.97		ph	
2/14/18	10:03:00	F5	98	1	22.87	6.65	2.6	20.35	12.84	25.21	12.16	11.9	15.16	12.61	1.5	0.92		ph	
2/21/18	11:00:00	F5	98	1	20.2	5.93	2.51	19.26	12.93	23.81	11.94	12.05	15.27	13.15	1.42	0.92		ph	
1/31/18	9:54:00	L	99	1	17.72	5.6	2.75	17.58	12.32	20.6	12.27	10.26	12.42	9.93	1.31	0.88		gh	
2/7/18	10:28:00	L	99	1	14.57	4.27	2.3	16.38	9.73	17.9	9.46	9.77	10.98	10.13	1.52	0.9		gh	
1/14/18	11:48:00	L	99	1	15.23	6.37	2.45	16.21	10.41	17.76	11.24	8.92	11.2	9.92	1.46	1		gh	
4/28/18	9:38:00	F5	103	1	24.34	6.36	2.35	24.2	16.61	29.76	11.1	14.23	17.43	13.54	1.44	0.96		Pgh	
4/29/18	10:09:00	F5	103	1	22.2	5.82	2.27	23.72	15.86	29.5	11.3	14.84	18.19	13.56	1.36	0.85		pgh	
4/25/18	10:21:00	F5	103	1	24.04	6.38	2.42	26.69	18	31.91	11.15	15.17	18.53	14.3	1.42	0.87		Pgh	
11/24/17	10:55:00	F5	106	2	20.6	6.32	2.66	20.52	12.91	25.18	11.46	13.89	16.03	13.59	1.66	1.06			
11/26/17	11:33:00	F5	106	1	19.17	6.23	2.29	20.85	12.71	24.03	10.37	12.66	15.11	13.56	1.76	1	nonpollen		
12/1/17	11:52:00	F5	106	1	21.9	6.93	2.68	21.71	15.26	27	11.47	14.21	16.78	13.78	1.69	0.95			
2/14/18	9:35:00	C	107	1	30.24	7.29	2.4	25.36	16.28	31.61	11.5	15.48	19.22	15.19	1.47	0.88		ph	
1/31/18	10:00:00	C	107	1	27.47	5.97	2.41	24.3	16	31.18	11.61	16.4	18.87	16.11	1.55	0.96		ph	
2/16/18	11:20:00	C	107	1	29.58	8.02	2.63	27.56	17.86	33.23	10.81	16.28	19.55	16.09	1.5	0.88		ph	
2/14/18	9:32:00	L	109	1	14.74	4.99	2.64	17.19	11.21	18.65	10.81	10.09	11.91	9.05	1.25	0.88		gh	
1/31/18	10:03:00	L	109	1	15.55	5.42	2.4	17.83	12.7	19.52	10.51	10.04	12.06	9.49	1.32	0.78		gh	
1/14/18	11:56:00	L	109	1	14.92	5.48	2.5	16.57	11.35	19.15	10.95	9.7	12.02	9.93	1.37	0.91		gh	
4/20/18	10:17:00	F5	110	1	21.07	6.49	2.67	20.17	14.76	24.6	10.64	11.35	14.22	12.72	1.65	1		Wh	Np
4/25/18	10:25:00	F5	110	1	23.78	6.17	2.78	23.29	15.86	29.03	10.4	13.29	16.57	13.95	1.46	0.99		Wh	Np
4/22/18	12:00:00	F5	110	1	20.46	6.63	2.75	21.62	13.29	26.36	9.57	13.22	15.48	13.73	1.67	1.04		wh	np
1/10/18	9:50:00	F5	112	1	27.38	7.51	2.92	29.04	18.92	33.19	11.49	15.4	19.41	16.05	1.58	1.03		wh	
1/3/18	9:51:00	F5	112	1	27.52	8.2	2.85	27.41	16.82	31.79	11.1	14.83	18.73	14.87	1.71	1.03			
1/7/18	9:56:00	F5	112	1	26.24	7.43	2.73	25.7	16.08	30.38	11.99	14.08	18.08	14.25	1.53	1.09			
2/14/18	9:28:00	F5	116	1	21.77	6.28	2.79	20.51	13.61	25.01	9.41	12.78	15.78	13.89	1.35	1.06		pgh	
1/31/18	10:16:00	F5	116	1	19.94	5.29	2.66	19.89	13.79	23.21	10.3	12.49	14.26	13.79	1.36	0.94		pgh	
11/18/17	10:21:00	F5	116	1	20.97	6.49	2.79	23.41	12.72	25.53	11.63	12.89	15.43	13.77	1.59	0.92			
1/3/18	9:55:00	F5	120	1	27.04	7.01	2.64	24.69	15.48	30.44	11.43	13.99	17.49	15.52	1.42	1.04			
1/11/18	10:13:00	F5	120	1	24.96	6.68	2.56	24.09	16.61	29.4	10.84	14.03	16.93	16.19	1.44	1.1		pgh	
1/14/18	11:59:00	F5	120	1	28.35	6.34	2.62	26.16	15.55	31.41	12.89	14.31	17.87	16.33	1.48	0.89		pgh	
1/3/18	10:02:00	F5	126	1	23.94	6.71	2.67	19.74	12.58	25.87	11.36	14.11	16.15	13.32	1.33	0.96			
1/5/18	10:25:00	F5	126	1	25.94	6.54	2.86	21.05	12.81	27.01	12.94	13.99	16.59	12.59	1.5	0.86			
12/3/17	10:47:00	F5	126	1	25.04	7.69	2.72	22.67	13.98	28.49	11.67	15.08	18.18	13.23	1.56	0.84			
2/28/18	9:39:00	F5	130	1	18.68	5.23	2.58	17.19	11.63	20.77	8.73	10.19	10.88	9.18	1.43	0.95		wh	
3/15/18	9:51:00	F5	130	1	17.54	4.81	2.45	17.1	12.57	20.6	9.09	10.61	12.66	10.08	1.17	0.97		Wh	
3/6/18	11:25:00	F5	130	1	18.25	6.27	2.44	19.42	12.21	21.75	8.02	10.55	12.06	10.19	1.39	0.92		Wh	
1/3/18	9:38:00	F5	133	2	26.2	7.32	2.73	25.92	16.93	29.69	12.29	16.53	18.61	17.55	1.41	0.95			
11/9/17	10:15:00	F5	133	1	23.87	6.26	2.55	24.31	15.37	28.85	12.75	15.93	18.79	16.18	1.57	0.96			
12/7/17	10:56:00	F5	133	1	24.4	6.59	3.01	25.35	17.45	30.46	12.45	16.15	18.78	17.54	1.6	1.15			
4/24/18	9:30:00	F5	134	1	24.08	7.65	2.75	24.43	17.41	30.03	11.65	13.74	16.8	14.61	1.48	0.98		Wh	
1/3/18	10:05:00	F5	134	1	21.58	6.31	2.6	24.87	16.05	27.82	11.6	12.75	16.13	13.77	1.45	1			
4/20/18	10:22:00	F5	134	1	19.67	6.41	3.05	21.54	13.78	25.07	11.07	12.02	14.71	12.4	1.24	0.89		Wh	
1/3/18	9:42:00	F5	135	1	23.85	6.97	2.57	23.99	14.26	27.06	12.26	13.14	15.77	15.39	1.47	0.93			
1/31/18	10:23:00	F5	135	1	19.48	5.5	2.82	19.85	13.42	23.37	10.96	11.65	14.18	15.32	1.65	1		wh	
2/2/18	10:23:00	F5	135	1	22.23	5.75	2.37	20.64	13.58	25.27	11	12.62	15.25	15.47	1.51	0.79		wh	
10/30/17	9:52:00	F5	140	1	23.41	6.89	3.1	22.85	15.81	28.5	10.59	14.96	17.2	15.2	1.42	0.87			
11/28/17	10:03:00	F5	140	1	21.63	6.84	2.52	24.2	16.05	27.45	9.95	14.38	16.93	15.48	2.01	0.94			
1/19/18	10:25:00	F5	140	1	21.04	5.8	2.46	22.85	15.17	26.08	10.81	13.6	15.44	13.3	1.61	0.91		gh	
2/14/18	10:39:00	F5	144	1	19.81	5.96	2.38	17.98	12.13	21.18	9.63	12.27	14.52	11.87	1.56	0.96		ph	
2/21/18	11:11:00	F5	144	1	16.76	5.71	2.36	18.33	12.28	20.7	8.66	11.49	14.12	11.68	1.46	0.91		ph	
2/16/18	11:24:00	F5	144	1	19.28	5.97	2.3	19.32	13.67	22.67	9.76	13.48	15.78	13.12	1.54	0.91		ph	
12/11/17	10:40:00	F5	149	1	18.84	5.18	2.31	22.73	14.4	25.25	9.75	12.25	14.33	12.19	1.5	0.78			
11/26/17	11:17:00	F5	149	1	17.07	6.35	2.07	22.7	14.58	25.33	10.26	11.59	13.37	12.11	1.85	0.87			
12/1/17	11:55:00	F5	149	1	17.73	6.05	1.96	21.34	14.38	24.49	10.81	11.98	14.04	11.56	1.75	0.87	sterile		
3/13/18	10:00:00	F5	155	1	22.71	6.11	2.52	21.82	14.06	26.64	11.34	12.36	15.15	14.3	1.48	1.03		Gh	
3/11/18	10:20:00	F5	155	2	21.49	7.04	2.43	21.93	14.56	25.84	9.97	13.11	15.37	14.4	1.41	0.97		Gh	daylight savings; shift forward
3/10/18	11:42:00	F5	155	1	19.74	6.38	2.23	21.9	14.45	24.27	8.22	12.32	15.04	13.56	1.43	1.04		Gh	
3/11/18	10:24:00	L	157	1	14.08	5.82	2.3	16.41	10.68	18.65	9.98	9.41	11.53	10.77	1.15	0.94		Gh	
2/23/18	11:15:00	L	157	1	14.9	5.77	2.39	15.59	10.47	18.83	9.21	10.4	12.85	9.74	1.34	0.96		gh	
2/16/18	11:27:00	L	157	1	17.21	5.62	2.48	17.24	11.42	19.8	10.29	10.72	12.84	11.11	1.39	0.95		gh	
3/30/18	9:44:00	F5	158	1	18.9	6.13	2.38	20.17	14.46	24.12	9.66	13.47	15.96	11.7	1.46	0.9		gh	
11/11/17	10:09:00	F5	158	1	19.46	5.27	1.95	21.66	13.32	24.64	11.18	12.72	15.87	12.17	1.48	1.02			
3/15/18	11:12:00	F5	158	1	19.14	5.46	2.46	20.32	12.16	23.76	9.13	12.82	15.33	11.18	1.36	0.92		gh	
4/24/18	9:38:00	F5	161	1	25.9	6.9	2.68	25.54	16.28	32.13	12.3	14.33	18.14	17.41	1.34	1.05		Wh	
4/20/18	10:30:00	F5	161	1	22.32	6.45	2.44	25.78	17.48	30.73	10.66	13.98	16.88	16.83	1.36	0.95		Wh	
3/30/18	10:33:00	F5	161	1	23.44	7.24	2.62	25.61	15.22	29.84	10.37	14.54	17.41	15.5	1.48	0.9		wh	
1/3/18	10:11:00	F5	162	1	21.83	6.89	2.39	21.75	14.15	25.98	10.97	12.83	14.87	13.01	1.52	0.88			
1/31/18	10:36:00	F5	162	2	24.24	6.95	2.59	22.33	15.9	27.27	11.36	14.52	16.96	13.97	1.59	0.97		pgh	
12/7/17	10:59:00	F5	162	1	21.33	6.54	2.35	22.67	13.19	26.63	10.28	13.68	16.18	13.52	1.28	0.9			
11/5/17	11:10:00	F5	163	1	19.55	6.61	2.83	22.96	13.34	26.74	11.15	14.08	16.7	13.92	1.8	1.02			
11/28/17	11:41:00	F5	163	1	23.49	6.43	2.48	22.99	15.18	27.15	10.91	13.98	16.28	13.84	1.61	1.05			
12/1/17	11:59:00	F5	163	1	22.34	7.1	2.53	23.89	14.58	27.37	11.52	14.22	17.18	13.71	1.4	1.03			
3/30/18	9:47:00	F5	164	1	21.28	5.95	2.83	21.24	14.15	26.04	11.24	12.14	14.23	12.14	1.42	0.9		pgh	3anthers
2/21/18	11:14:00	F5	164	1	23.51	6.81	2.8	20.43	12.81	23.93	11.43	10.95	12.87	9.92	1.35	0.9		pgh	
3/29/18	11:53:00	F5	164	1	25.25	7.3	2.77	21.53	14.26	27.51	10.88	12.85	15.44	13.53	1.51	0.93		pgh	ss
12/3/17	10:55:00	F5	167	1	19.9	6.5	2.53	22.38	14.71	26.28	10.51	12.72	15.03	11.76	1.53	0.87	sterile		
12/19/17	11:43:00	F5	167	1	19.7	6.34	2.89	22.52	14.57	25.81	12.17	12.1	14.74	12.52	1.51	0.99			
11/28/17	11:45:00	F5	167	1	18.03	6.19	2.57	21.67	13	22.85	10.9	10.97	12.62	10.74	1.73	0.92	sterile		
11/9/17	10:18:00	F5	168	1	19.44	6.54	2.7	22.03	14.33	24.98	11.68	13.28	16.45	12.25	1.71	0.98			
3/26/18	10:21:00	F5	168	1	20.26	5.3	2.69	22.08	14	26.27	11.74	14.07	16.17	12.73	1.59	0.98		pgh	
2/14/18	10:47:00	F5	168	1	18.46	5.57	2.4	20.91	14.6	24.87	10.27	13.58	15.74	10.31	1.45	0.95		ph	
1/31/18	10:43:00	F5	169	1	19.59	6.7	2.91	21.29	13.71	24.28	11.78	10.98	12.96	12.51	1.58	1.01		ph	
11/5/17	11:15:00	F5	169	1	22.96	8.25	2.46	29.31	18.73	30.99	11.85	16.35	18.24	13.43	1.9	1.22			
3/2/18	11:19:00	F5	169	1	21.1	7.26	2.44	23.13	14.5	26.09	10.77	13.18	14.96	12.4	1.38	0.91		Ph	
2/28/18	9:28:00	F5	170	1	19.52	5.43	2.44	18.84	13.43	23.65	10.03	12.48	13.55	11.13	1.18	0.8		Ph	
3/7/18	9:53:00	F5	170	1	21	5.72	2.7	19.13	11.85	24	11.63	11.85	13.8	11.26	1.46	1.01		ph	
3/6/18	11:20:00	F5	170	1	22.09	6.64	2.62	18.47	12.21	24.03	11.49	11.7	14.27	11.47	1.57	0.9		pgh	
11/9/17	10:22:00	F5	171	1	22.41	5.6	2.5	22.93	14.68	26.69	11.65	13.06	15.18	13.16	1.49	1.05			
1/31/18	10:46:00	F5	171	1	20.67	6.07	2.34	20.49	13.99	24.88	10.52	11.56	14.25	11.99	1.58	0.87		ph	
2/14/18	10:50:00	F5	171	1	18.63	6.03	2.61	21.48	13.79	23.71	9.08	11.57	14.05	11.1	1.35	0.87		ph	
10/30/17	10:58:00	F5	178	1	23.63	7.81	2.79	27.32	17.3	29.07	10.6	15.51	19.96	18.06	2.09	1			
12/7/17	11:02:00	F5	178	1	24.15	6.89	2.79	27.61	16.93	30.96	12.03	15.71	19.74	17.57	1.73	0.94			
12/3/17	11:03:00	F5	178	2	23.92	6.99	2.7	25.45	16.47	29.55	11.29	16.17	19.39	17.53	1.68	1.01			
1/30/18	9:36:00	F5	180	1	21.5	5.66	2.77	22.32	13.58	25.74	11.18	12.57	15.29	14.6	1.68	1.03		wh	
1/31/18	10:49:00	F5	180	1	22.46	5.67	2.39	23.51	15.52	27.05	10.82	13.69	16.75	14.52	1.45	0.96		wh	
2/14/18	10:54:00	F5	180	1	19.52	6.42	2.31	21.63	14.47	26.1	10.39	13.72	16.24	14.21	1.66	0.98		wh	
11/9/17	10:26:00	F5	182	1	19.21	5.22	2.35	22.53	14.8	26.82	10.68	13.87	15.45	12.76	1.55	1.05			
2/14/18	10:43:00	F5	182	1	19.53	4.95	2.26	23.88	17.37	28.1	11.99	13.43	16	12.79	1.58	0.94		pgh	
1/31/18	11:01:00	F5	182	1	19.73	6.02	2.51	23.3	16.06	26.96	11.44	12.7	15.08	12.62	1.48	0.93		ph	
2/21/18	10:22:00	F5	183	1	19.31	6.38	2.29	21.89	15.34	24.87	8.73	12.35	14.85	10.84	1.41	0.94		ph	
2/14/18	11:00:00	F5	183	1	19.11	5.7	2.62	21.17	14.63	24.39	10.42	12.43	14.99	10.59	1.39	0.95		ph	no pic
1/31/18	11:05:00	F5	183	1	19.66	5.28	2.5	20.9	15	25.02	10.46	11.55	14.28	11.09	1.4	1.02		ph	
2/14/18	11:26:00	F5	192	1	21.82	5.97	2.52	24.29	15.99	27.62	12.75	13.99	17.33	16.03	1.51	0.85		Wh	
1/31/18	11:30:00	F5	192	1	23.08	6.73	2.31	24.83	15.96	28.42	11.92	14.2	17.72	17.05	1.58	0.87		wh	
3/18/18	11:47:00	F5	192	1	23.81	6.75	2.45	21.77	14.32	27.36	10.38	13.76	16.4	15.3	1.58	0.87		Wh	Np
4/30/18	9:27:00	F5	196	1	22.32	6.14	2.32	20.56	13.51	25.52	11.03	12.04	14.91	12.81	1.26	0.87		pgh	
4/27/18	9:54:00	F5	196	1	22.79	6.63	2.64	23.47	15.97	28.69	10.79	13.08	16.41	13.67	1.33	0.81		pgh	
4/12/18	10:11:00	F5	196	1	20.63	6.46	2.39	21.98	15.29	26.59	10.85	13.37	15.37	13.36	1.38	0.92		pgh	
4/24/18	9:44:00	F5	197	1	25.62	7.16	2.48	23.41	16.97	28.5	10.73	15.74	18.44	16.81	1.42	1.15		Ph	
4/25/18	10:35:00	F5	197	1	26.26	7.35	2.47	24.19	16.64	30.19	11.2	15.93	18.66	15.85	1.32	0.94		Ph	
4/20/18	10:48:00	F5	197	1	24.86	7.17	2.49	22.19	13.62	26.4	10.56	14.15	17.37	15.46	1.31	0.98		Pgh	
