PairwiseTraits,gen_corr,pred_corr,bias,avg_total_RHE,Correct_QTL_overlap,QTL_overlap_ITL,avg_total_RHE_ITL,Cat1,Cat2
OverallCorollaLength-SugarConcentration,0.329,0.222944087,-0.106055913,0.904,0.388888889,0.388888889,0.903676558,flower-nectar,non-seed
NectarySize-OverallCorollaLength,0.445,0.255343855,-0.189656145,0.829,0.2,0.2,0.829127467,flower-nectar,non-seed
LongestStamenLength-SepalLength,0.314,0.351614595,0.037614595,0.835,0.388888889,0.388888889,0.835052977,flower,non-seed
PistilLength-SepalLength,0.392,0.442622146,0.050622146,1.2555,0.428571429,0.428571429,1.255600584,flower,non-seed
SeedMass-SepalLength,0.271,-0.517044317,-0.788044317,0.3485,0.166666667,0.166666667,0.348641024,flower-seed,seed
SeedLength-SepalLength,0.391,-0.503656537,-0.894656537,-0.019,0.5,0.5,-0.018965099,flower-seed,seed
SeedWidth-SepalLength,0.178,-0.630725526,-0.808725526,0.4705,0.181818182,0.181818182,0.470480147,flower-seed,seed
NectarVolume-SepalLength,0.381,0.442484819,0.061484819,0.756,0.333333333,0.333333333,0.755904433,flower-nectar,non-seed
SepalLength-SugarConcentration,0.266,0.090103993,-0.175896007,0.9265,0.294117647,0.294117647,0.926194168,flower-nectar,non-seed
NectarySize-SepalLength,0.465,0.402645655,-0.062354345,0.8515,0.35,0.35,0.851645077,flower-nectar,non-seed
LongestStamenLength-PistilLength,0.641,0.646128084,0.005128084,1.1415,0.571428571,0.571428571,1.141862149,flower,non-seed
LongestStamenLength-SeedMass,0.217,-0.395621387,-0.612621387,0.2345,0.214285714,0.214285714,0.234902589,flower-seed,seed
LongestStamenLength-SeedLength,0.281,-0.35460019,-0.63560019,-0.133,0.5,0.5,-0.132703533,flower-seed,seed
LongestStamenLength-SeedWidth,0.232,-0.235563174,-0.467563174,0.3565,0.066666667,0.066666667,0.356741712,flower-seed,seed
LongestStamenLength-NectarVolume,0.562,0.341215511,-0.220784489,0.642,0.533333333,0.533333333,0.642165998,flower-nectar,non-seed
LongestStamenLength-SugarConcentration,0.439,0.320682732,-0.118317268,0.8125,0.5625,0.5625,0.812455734,flower-nectar,non-seed
LongestStamenLength-NectarySize,0.446,0.381221608,-0.064778392,0.7375,0.428571429,0.428571429,0.737906643,flower-nectar,non-seed
PistilLength-SeedMass,0.1,-0.27316302,-0.37316302,0.655,0.157894737,0.157894737,0.655450196,flower-seed,seed
PistilLength-SeedLength,0.291,-0.538025064,-0.829025064,0.2875,0.368421053,0.368421053,0.287844074,flower-seed,seed
PistilLength-SeedWidth,0.116,-0.13155152,-0.24755152,0.777,0.05,0.05,0.777289319,flower-seed,seed
NectarVolume-PistilLength,0.463,0.241857454,-0.221142546,1.0625,0.333333333,0.333333333,1.062713605,flower-nectar,non-seed
PistilLength-SugarConcentration,0.291,0.22023657,-0.07076343,1.233,0.363636364,0.363636364,1.233003341,flower-nectar,non-seed
NectarySize-PistilLength,0.395,0.391696443,-0.003303557,1.158,0.346153846,0.346153846,1.15845425,flower-nectar,non-seed
SeedLength-SeedMass,0.702,0.667161323,-0.034838677,-0.6195,0.428571429,0.428571429,-0.619115486,seed,seed
SeedMass-SeedWidth,0.714,0.831304914,0.117304914,-0.13,0.666666667,0.666666667,-0.129670241,seed,seed
NectarVolume-SeedMass,0.06,-0.503971607,-0.563971607,0.1555,0.333333333,0.333333333,0.155754045,seed-nectar,seed
SeedMass-SugarConcentration,0.046,-0.102767101,-0.148767101,0.326,0.076923077,0.076923077,0.326043781,seed-nectar,seed
NectarySize-SeedMass,0.148,-0.500232188,-0.648232188,0.251,0.357142857,0.357142857,0.25149469,seed-nectar,seed
SeedLength-SeedWidth,0.719,0.482122442,-0.236877558,-0.4975,0.285714286,0.285714286,-0.497276363,seed,seed
NectarVolume-SeedLength,0.103,-0.36922261,-0.47222261,-0.212,0.230769231,0.230769231,-0.211852077,seed-nectar,seed
SeedLength-SugarConcentration,0.126,-0.477678168,-0.603678168,-0.0415,0.285714286,0.285714286,-0.041562342,seed-nectar,seed
NectarySize-SeedLength,0.263,-0.548228441,-0.811228441,-0.1165,0.4375,0.4375,-0.116111433,seed-nectar,seed
NectarVolume-SeedWidth,0.045,-0.186780144,-0.231780144,0.2775,0.1,0.1,0.277593168,seed-nectar,seed
SeedWidth-SugarConcentration,0.144,0,-0.144,0.448,0,0,0.447882904,seed-nectar,seed
NectarySize-SeedWidth,0.123,-0.228787893,-0.351787893,0.373,0.125,0.125,0.373333813,seed-nectar,seed
NectarVolume-SugarConcentration,0.646,0.067048768,-0.578951232,0.7335,0.333333333,0.333333333,0.73330719,nectar,non-seed
NectarVolume-NectarySize,0.698,0.429072549,-0.268927452,0.6585,0.666666667,0.666666667,0.658758099,nectar,non-seed
NectarySize-SugarConcentration,0.648,0.435095377,-0.212904623,0.829,0.5,0.5,0.829047834,nectar,non-seed
