lodindex	Trait	L_M	Chr	pos	LOD	ci_lo	ci_hi	ci_total	RHE_CC-LL_L	Direction_L	RHE_CC-LL_M	Direction_M	Avg_RHE_CC-LL	calcPVE-2
2	CorollaThroat	L	9	131.927	6.72557	103.85	147.6645	43.8145	0.153411758	1	0.153411758	1	0.153411758	0.050482964
2	CorollaThroat	L	13	42.771	6.192714	34.8345	74.067	39.2325	0.139142098	1	0.168114157	1	0.153628128	0.046222772
3	CorollaLength	L	1	207	5.488744	189.9165	231.566	41.6495	0.084762208	1	0.076128938	1	0.080445573	0.041735097
3	CorollaLength	M	4	52	7.369602	45.27312	62.37565	17.10253	0.108576111	1	0.108576111	1	0.108576111	0.057656264
3	CorollaLength	M	4	199.1425	3.362624	183.7614	227.0995	43.3381			0.047220316	1	0.047220316	0.025825349
3	CorollaLength	M	5	70	7.596351	55.36365	87.19921	31.83556			0.097508918	1	0.097508918	0.056271035
3	CorollaLength	M	5	171.0784	7.569567	163.7224	176.0234	12.301	0.117015547	1	0.117757839	1	0.117386693	0.057186953
3	CorollaLength	M	8	195.5423	5.915729	178.0508	204.6029	26.5521	0.087404281	1	0.089214856	1	0.088309568	0.046199289
3	CorollaLength	M	9	27.4936	4.667363	0	38.07264	38.07264			0.087147673	1	0.087147673	0.035482837
3	CorollaLength	L	9	145.207	13.851634	139.7295	147.6645	7.935	0.140703899	1	0.141999055	1	0.141351477	0.099958147
3	CorollaLength	L	14	138.9475	5.712576	129.887	143.2275	13.3405	-0.07145933	-1	-0.070790827	-1	-0.071125078	0.042112494
3	CorollaLength	M	15	27.21705	4.751402	6.18652	34.09405	27.90753	0.10484593	1	0.10484593	1	0.10484593	0.035057521
4	OverallCorollaLength	M	1	204	8.781698	197.727	215.475	17.748	0.087122636	1	0.084890954	1	0.086006795	0.065082814
4	OverallCorollaLength	L	2	50	3.401029	0	56.5555	56.5555	0.053300009	1			0.053300009	0.025853903
4	OverallCorollaLength	M	4	53	9.338872	46.09262	62.70165	16.60903	0.098119139	1	0.098119139	1	0.098119139	0.071903847
4	OverallCorollaLength	M	5	74.93719	6.022362	59.71567	87.19921	27.48354			0.079392703	1	0.079392703	0.044292007
4	OverallCorollaLength	M	5	171.0784	11.326458	163.7224	176.0234	12.301	0.119981971	1	0.120622267	1	0.120302119	0.083092236
4	OverallCorollaLength	L	8	199.001	5.762885	178.0505	215.694	37.6435	0.062166529	1	0.064703308	1	0.063434918	0.044457705
4	OverallCorollaLength	L	9	145.207	12.213113	139.7295	147.6645	7.935	0.115144356	1	0.114141197	1	0.114642777	0.089263196
4	OverallCorollaLength	L	13	42.771	3.463942	32.847	74.067	41.22	0.062417929	1			0.062417929	0.026406457
4	OverallCorollaLength	L	14	138.9475	3.590595	127.2185	144.043	16.8245	-0.047381944	-1			-0.047381944	0.026900329
5	SepalLength	M	1	199	10.424359	195.1019	212.085	16.9831	0.896874105	1	0.882262467	1	0.889568286	0.076039959
5	SepalLength	M	1	254	4.553586	240.196	267.2916	27.0956			0.726224045	1	0.726224045	0.034196732
5	SepalLength	M	3	31.73156	3.957636	14.56553	39.26006	24.69453			-0.470618393	-1	-0.470618393	0.030254197
5	SepalLength	M	5	63.10468	4.10811827	2.373511	195.89843	193.524919			0.395539605	1	0.395539605	0.031577061
5	SepalLength	M	5	196	5.938689	195.89844	199	3.10156			0.246497881	1	0.246497881	0.045903399
5	SepalLength	M	5	199	6.978751	199.0001	201.7014	2.7013			0.357374429	1	0.357374429	0.054959695
5	SepalLength	L	6	201.194	4.226738	190.9315	227.2655	36.334	-0.372709863	-1	-0.387894507	-1	-0.380302185	0.031513038
5	SepalLength	M	7	128.1678	3.630468	116.7277	135.1608	18.4331	-0.495709999	-1	-0.495709999	-1	-0.495709999	0.027640186
5	SepalLength	M	9	38.07264	6.396238	32.49614	44.76115	12.26501	-0.423028786	-1	-0.423028786	-1	-0.423028786	0.046759805
5	SepalLength	L	12	144.152	5.89055	129.696	156.972	27.276	-0.59493041	-1	-0.625013194	-1	-0.609971802	0.043504909
5	SepalLength	M	13	44.3356	3.846181	20.35354	74.0672	53.71366			0.319435439	1	0.319435439	0.029427765
5	SepalLength	M	14	167.0247	6.668753	159.6697	181.2783	21.6086	0.608607144	1	0.548954265	1	0.578780705	0.049434308
6	LongestStamenLength	M	1	5	3.453013	0	24.83956	24.83956			-0.075185309	-1	-0.075185309	0.027509154
6	LongestStamenLength	M	1	229.662	7.888189	222.529	240.196	17.667	0.094244205	1	0.094142055	1	0.09419313	0.057381932
6	LongestStamenLength	M	4	52	14.5691	46.09262	55.80463	9.71201	0.125910718	1	0.133195023	1	0.129552871	0.107555771
6	LongestStamenLength	L	5	167.7815	5.405028	163.722	176.023	12.301	0.095323255	1	0.095323255	1	0.095323255	0.040990108
6	LongestStamenLength	L	8	201.2425	5.003138	178.0505	218.3195	40.269	0.053880551	1			0.053880551	0.039094237
6	LongestStamenLength	M	9	145.2074	8.112721	141.0459	147.6649	6.619	0.098548894	1	0.098548894	1	0.098548894	0.061229228
6	LongestStamenLength	L	11	27	5.76203	18.526	38.431	19.905	0.067590237	1	0.067590237	1	0.067590237	0.045832385
6	LongestStamenLength	L	13	58.3455	4.062428	19.7815	158.78	138.9985	0.07108492	1	0.072378341	1	0.07173163	0.0310299
6	LongestStamenLength	L	14	141.24	6.878702	134.177	145.276	11.099	-0.074917704	-1	-0.074917704	-1	-0.074917704	0.050745653
7	PistilLength	M	1	206	8.341122	195.1019	234.37	39.2681	0.102010846	1	0.099572136	1	0.100791491	0.062432008
7	PistilLength	M	2	119.0478	3.677423	103.2068	130.7103	27.5035	-0.082376103	-1	-0.074605202	-1	-0.078490652	0.028080263
7	PistilLength	M	3	59	6.132963	49.21758	71.80162	22.58404	-0.128207558	-1	-0.14501893	-1	-0.136613244	0.045502954
7	PistilLength	L	4	52	20.080269	48.6605	64.3415	15.681	0.228954519	1	0.221725553	1	0.225340036	0.141915014
7	PistilLength	M	5	171.0784	15.60377	163.7224	176.0234	12.301	0.169443929	1	0.162247176	1	0.165845552	0.110746137
7	PistilLength	M	7	0	6.011584	0	23.56257	23.56257			0.076753995	1	0.076753995	0.045524157
7	PistilLength	M	7	142.4113	5.497754	128.1678	149.5473	21.3795			-0.088320341	-1	-0.088320341	0.041122149
7	PistilLength	L	7	192.457	5.401624	184.371	198.645	14.274	-0.087355847	-1			-0.087355847	0.038915767
7	PistilLength	M	8	64.22617	4.382283	55.06363	84.46073	29.3971			-0.008458743	-1	-0.008458743	0.03338965
7	PistilLength	M	8	214	8.714308	199.0014	227.0059	28.0045	0.128813919	1	0.124995737	1	0.126904828	0.064410048
7	PistilLength	M	9	12.70103	17.77145	9.603527	22.733586	13.130059	0.177248938	1	0.177248938	1	0.177248938	0.123680124
7	PistilLength	M	9	135.4704	3.947435	102	147.6649	45.6649			0.10092129	1	0.10092129	0.030584678
7	PistilLength	M	10	58.91763	13.00417	55.09462	61.84413	6.74951	0.063019908	1	0.063019908	1	0.063019908	0.095059381
7	PistilLength	M	13	51	5.526912	39.32659	61.86767	22.54108			0.115354589	1	0.115354589	0.042574607
7	PistilLength	M	13	151.3448	8.080634	149.9528	160.9903	11.0375	0.100555579	1	0.109795012	1	0.105175295	0.059256369
7	PistilLength	M	15	9	3.480625	0	34.09405	34.09405			0.091939561	1	0.091939561	0.027344663
8	SeedMass	M	12	146.1997	3.328422	100.5231	156.9722	56.4491			0.374596173	1	0.374596173	0.025232845
9	SeedLength	L	2	92.3455	3.196395	13.49	107.2625	93.7725	0.300161966	1			0.300161966	0.024256634
9	SeedLength	M	12	115.7787	3.773297	92.62264	132.79419	40.17155	0.360562826	1	0.355183495	1	0.35787316	0.029177486
9	SeedLength	M	13	65.9782	5.146565	15.32403	74.0672	58.74317	-0.42367093	-1	-0.428825243	-1	-0.426248087	0.03976458
10	SeedWidth	M	1	192.6404	3.830288	150.6488	226.785	76.1362	-0.37641595	-1	-0.367340109	-1	-0.37187803	0.02883088
11	NectarVolume	L	4	154.002	3.656793	121.5925	171.8655	50.273	0.072001258	1			0.072001258	0.02811366
11	NectarVolume	L	5	26	3.229344	2.3735	69.7335	67.36	0.079049374	1			0.079049374	0.024581424
11	NectarVolume	L	13	69	3.807356	25.0625	145.988	120.9255	0.096825935	1	0.095306941	1	0.096066438	0.031779436
12	SugarConcentration	M	4	197.1545	8.587753	183.7614	205.542	21.7806	0.121949793	1	0.121577481	1	0.121763637	0.063333597
12	SugarConcentration	M	7	84.79965	3.473199	36.74659	94.4942	57.74761			0.091157389	1	0.091157389	0.027287945
12	SugarConcentration	M	9	137	5.078752	59.05767	146.93187	87.8742	0.1051972	1	0.101346765	1	0.103271983	0.039931707
12	SugarConcentration	M	10	72.60815	4.340746	65.72614	94.17273	28.44659			0.090682931	1	0.090682931	0.033868311
12	SugarConcentration	M	11	25.88959	5.917689	18.52608	34.44509	15.91901	0.12862033	1	0.128620334	1	0.128620332	0.045748743
12	SugarConcentration	M	15	60.17856	3.824674	56.21056	74.61958	18.40902	0.11824147	1	0.11824147	1	0.11824147	0.028696081
13	NectarySize	M	1	203	5.349908	189.9169	232.2205	42.3036	0.09319656	1	0.100308061	1	0.09675231	0.03917063
13	NectarySize	M	3	51	8.234195	47.16808	55.91109	8.74301	-0.2080672	-1	-0.2080672	-1	-0.2080672	0.062086614
13	NectarySize	L	4	186	6.532344	171.8655	196.253	24.3875	0.11083411	1	0.105189189	1	0.10801165	0.051989017
13	NectarySize	L	5	52.4275	5.665011	45.308	66.2895	20.9815	0.10006939	1	0.110035116	1	0.105052253	0.042046079
13	NectarySize	M	6	167	3.676935	153.5923	195.2539	41.6616			0.072642361	1	0.072642361	0.030613936
13	NectarySize	M	7	205.7089	5.351719	196.2504	212.4894	16.239	-0.1000032	-1	-0.100003215	-1	-0.100003208	0.039945015
13	NectarySize	M	8	30.58759	7.936686	24.01307	44.75011	20.73704	-0.1136726	-1	-0.113672612	-1	-0.113672606	0.058826781
13	NectarySize	M	13	0.244014	7.314697	0	28.767083	28.767083	0.13569644	1	0.066773085	1	0.101234762	0.056485213
13	NectarySize	M	13	142.9588	5.083236	134	149.7898	15.7898			0.10379771	1	0.10379771	0.038267794
13	NectarySize	M	14	20	8.008347	12	29	17	0.12916037	1	0.115470161	1	0.122315266	0.064731871
13	NectarySize	M	14	165.8767	7.151813	155.4762	185.4798	30.0036			0.118819317	1	0.118819317	0.052988995
14	sqrtNectarVol	L	4	154.002	3.608003	109.647	171.8655	62.2185	0.07861722	1			0.07861722	0.027749167
14	sqrtNectarVol	M	13	58.34566	4.063611	29.66359	151.01932	121.35573	0.10159257	1	0.102315568	1	0.101954069	0.031038649
15	lnNectarySize	M	1	205	4.159233	67.54312	215.47497	147.93185	0.10718906	1	0.107189058	1	0.107189059	0.032171752
15	lnNectarySize	M	3	52	6.099564	45.68757	55.91109	10.22352	-0.2099065	-1	-0.209906519	-1	-0.209906509	0.046773066
15	lnNectarySize	L	4	186	6.989102	171.8655	196.253	24.3875	0.12226047	1	0.121795591	1	0.12202803	0.055415148
15	lnNectarySize	M	5	63.10468	6.327696	50.01661	90.63271	40.6161	0.10196749	1	0.110980883	1	0.106474187	0.04779983
15	lnNectarySize	M	8	30.58759	5.267202	24.01307	69.93018	45.91711	-0.1097498	-1	-0.10974976	-1	-0.10974978	0.039856514
15	lnNectarySize	M	8	241.0189	3.628711	224	241.0999	17.0999			0.093468626	1	0.093468626	0.027355901
15	lnNectarySize	M	13	27.04108	6.759757	20.35354	74.0672	53.71366	0.13118826	1	0.131796113	1	0.131492186	0.051565542
15	lnNectarySize	M	14	19	6.611506	6.173011	32.196528	26.023517	0.13671975	1	0.13412309	1	0.13542142	0.050161349
15	lnNectarySize	M	14	185.4798	6.56546	163.4642	185.4798	22.0156			0.124991546	1	0.124991546	0.048707193
