image	Ind	Infl_pos	Cor_Len_Var	Nectar_UNC	Sugar_UND	Sugar_D+2.5	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	Top_out_dia	Top_in_dia	Bottom_out_dia	Nec_H1	Nec_H2	Nec_H3	Nec_H4	Ov_H1	Ov_H2	Nec_H_avg	Ov_H_avg	Top_out_rad	Top_in_rad	Nec_thickness	Bottom_out_rad	Bottom_in_rad	Bottom_in_rad_A	Bottom_in_rad_B	Bottom_in_rad_C	Bottom_in_rad_D	FVol_A	FVol_B	FVol_C	FVol_C1	FVol_C2	FVol_C3	FVol_C4	CVol_A	CVol_B	Frustrum_Vol	Frustrum_Vol_A	Frustrum_Vol_B	Frustrum_Vol_C	Frustrum_Vol_D	Cylinder_Vol
1391	9	1	27.24	18.92	30.4	12	2.133	1.994	2.052	1.617	3.443	1.577	3.351	2.035	2.197	1.606	2.33	0.87	3.159	0.777	3.304	1.6	1.391	1.107	1.218	0.377	0.388	0.435	0.458	1.124	1.258	0.4145	1.191	0.6955	0.5535	0.142	0.609	0.467	0.609	0.538	0.5735	0.59125	0.434063385	1.27816075	0.78293575	1.01432475	0.89358925	0.95269675	0.983195688	1.302190155	0.177358	0.21495904	0.114521547	0.166928407	0.141272006	0.128033533	0.230953841
1543	9	1	27.65	6.74	28.5	3.5	2.255	2.087	2.133	1.699	3.53	1.588	3.501	2.046	2.272	1.641	2.533	0.835	3.217	0.823	3.414	1.623	1.397	1.142	1.246	0.388	0.446	0.423	0.458	1.252	1.223	0.42875	1.2375	0.6985	0.571	0.1275	0.623	0.4955	0.623	0.55925	0.591125	0.6070625	0.44898595	1.31119675	0.85449175	1.069903	0.958133313	1.013002141	1.041198566	1.34695785	0.16186125	0.205054128	0.108337504	0.158520523	0.13388519	0.121225391	0.218020281
111	11	1	18.9	4.89	19.7	2.1	2.313	1.797	2.214	1.507	3.397	1.391	3.362	1.762	2.325	1.559	2.441	0.672	3.049	0.62	3.304	1.426	1.183	0.979	1.049	0.29	0.238	0.336	0.371	1.125	1.142	0.30875	1.1335	0.5915	0.4895	0.102	0.5245	0.4225	0.5245	0.4735	0.499	0.51175	0.323322244	0.93521425	0.62493025	0.77145325	0.69559075	0.73287175	0.751999938	0.969966732	0.110262	0.100321719	0.052947574	0.077475608	0.065421831	0.059237263	0.106950472
1040	11	1	18.13	0			2.168	2.035	2.145	1.745	3.391	1.6	3.391	1.826	2.272	1.693	2.481	0.754	3.014	0.777	3.31	1.606	1.246	1.038	1.223	0.29	0.342	0.22	0.226	1.281	1.049	0.2695	1.165	0.623	0.519	0.104	0.6115	0.5075	0.6115	0.5595	0.5855	0.5985	0.28221974	1.14302575	0.79030975	0.96066175	0.87278175	0.91604575	0.93818475	0.84665922	0.118768	0.099543418	0.051466721	0.076268191	0.064058237	0.057810174	0.100556022
2720	11	1	21.77	15.95	20	6	2.255	1.843	2.191	1.583	3.443	1.554	3.409	1.843	2.336	1.565	2.481	0.945	3.171	0.945	3.333	1.559	1.252	0.997	1.154	0.26	0.278	0.284	0.289	0.898	0.898	0.27775	0.898	0.626	0.4985	0.1275	0.577	0.4495	0.577	0.51325	0.545125	0.5610625	0.29085912	1.086007	0.67462825	0.86906575	0.767782938	0.817408328	0.842983035	0.87257736	0.14337375	0.119653261	0.063099341	0.092558371	0.078124373	0.070685737	0.125104688
2777	11	1	20.18	8.3	21.9	3.8	2.203	1.919	2.064	1.658	3.386	1.583	3.38	1.82	2.191	1.623	2.336	0.916	3.043	0.881	3.27	1.554	1.322	1.079	1.177	0.261	0.296	0.266	0.237	1.003	0.939	0.265	0.971	0.661	0.5395	0.1215	0.5885	0.467	0.5885	0.52775	0.558125	0.5733125	0.277507351	1.17225175	0.76109575	0.95488825	0.854301438	0.903672203	0.929049566	0.832522053	0.14586075	0.114098812	0.060319969	0.088233549	0.074532799	0.067490394	0.121432291
110	14	1	29.01	28.48	29.8	13.1	2.157	2.017	2.075	1.583	3.386	1.617	3.368	1.959	2.243	1.583	2.406	0.899	3.113	0.87	3.275	1.612	1.311	1.032	1.211	0.434	0.434	0.347	0.342	1.118	1.089	0.38925	1.1035	0.6555	0.516	0.1395	0.6055	0.466	0.6055	0.53575	0.570625	0.5880625	0.407621647	1.19321575	0.723868	0.94532425	0.829731063	0.886311391	0.915513754	1.22286494	0.16342425	0.191316303	0.101045941	0.148164227	0.12510086	0.113197345	0.199845786
181	14	1	28.47	50.84	30.1	17.6	2.238	1.983	2.128	1.583	3.391	1.525	3.38	1.919	2.243	1.559	2.487	0.672	3.113	0.638	3.31	1.525	1.263	1.067	1.142	0.4	0.424	0.394	0.394	1.311	1.281	0.403	1.296	0.6315	0.5335	0.098	0.571	0.473	0.571	0.522	0.5465	0.55875	0.422020613	1.08541975	0.76069675	0.91529175	0.83559325	0.87484225	0.894916938	1.266061839	0.11417	0.1370398	0.071797523	0.105431933	0.088868046	0.080396114	0.14454628
1393	14	2	28.07	33.02	27.5	12.8	2.133	1.965	2.128	1.554	3.386	1.583	3.368	1.977	2.22	1.559	2.429	0.91	3.072	0.893	3.287	1.559	1.258	1.067	1.235	0.411	0.406	0.418	0.394	1.055	1.084	0.40725	1.0695	0.629	0.5335	0.0955	0.6175	0.522	0.6175	0.56975	0.593625	0.6055625	0.426471203	1.16535475	0.83559325	0.99536475	0.913198938	0.953711828	0.974395785	1.279413608	0.11101875	0.140633784	0.07249584	0.107537193	0.090259611	0.081438499	0.1420389
1265	16	1	20.38	11.22	27.2	6.1	2.249	2.052	2.133	1.629	3.472	1.565	3.449	2	2.272	1.641	2.522	0.904	3.113	0.875	3.357	1.548	1.339	1.085	1.2	0.423	0.411	0.452	0.435	1.148	1.125	0.43025	1.1365	0.6695	0.5425	0.127	0.6	0.473	0.6	0.5365	0.56825	0.584125	0.450556746	1.20993025	0.77463775	0.97980625	0.87318975	0.925489938	0.952396078	1.351670239	0.153924	0.196123973	0.103683921	0.151720704	0.128156502	0.116033759	0.20805449
2803	16	1	26.25	31.76	32	14.2	2.104	2.145	1.919	1.629	3.507	1.542	3.513	2.064	2.139	1.583	2.383	1.009	3.159	1.026	3.357	1.525	1.588	1.218	1.409	0.516	0.562	0.539	0.522	1.136	1.038	0.53475	1.087	0.794	0.609	0.185	0.7045	0.5195	0.7045	0.612	0.65825	0.681375	0.559988891	1.68612925	0.95713675	1.29624175	1.118133	1.205048313	1.250110266	1.679966672	0.259555	0.408227701	0.218332669	0.31807159	0.26939998	0.244165787	0.436043749
1146	17	1	26.85	25.63	31.7	12.7	2.214	2	2.104	1.629	3.438	1.571	3.478	1.959	2.278	1.583	2.597	0.765	3.229	0.707	3.362	1.536	1.334	1.084	1.264	0.371	0.417	0.423	0.388	1.235	1.252	0.39975	1.2435	0.667	0.542	0.125	0.632	0.507	0.632	0.5695	0.60075	0.616375	0.418617221	1.265857	0.825607	1.035732	0.92676325	0.980271063	1.007757391	1.255851663	0.151125	0.184296232	0.096334288	0.141950483	0.119551192	0.108044941	0.189790583
1259	17	1	23.89	5.79	31.2	3	2.261	1.983	2.203	1.652	3.351	1.623	3.304	1.925	2.296	1.646	2.504	0.87	3.009	0.852	3.281	1.6	1.148	0.985	1.043	0.331	0.337	0.325	0.302	1.113	1.073	0.32375	1.093	0.574	0.4925	0.0815	0.5215	0.44	0.5215	0.48075	0.501125	0.5113125	0.339030207	0.90077925	0.65285625	0.77135725	0.710446188	0.740486578	0.755818129	1.017090622	0.08691975	0.084053386	0.043877967	0.064528658	0.054344058	0.049146199	0.088405263
2414	17	1	27.04	22.56	26.5	9.9	2.203	1.954	2.151	1.588	3.443	1.559	3.409	1.913	2.226	1.571	2.452	0.817	3.113	0.777	3.374	1.507	1.292	1.148	1.206	0.366	0.383	0.406	0.354	1.137	1.136	0.37725	1.1365	0.646	0.574	0.072	0.603	0.531	0.603	0.567	0.585	0.594	0.395055276	1.170463	0.916231	1.039207	0.976423	1.007491	1.023268	1.185165829	0.08784	0.100435693	0.051853375	0.076656526	0.064382948	0.058150161	0.104104966
2430	17	1	26.51	18.11	27.5	8.8	2.232	2.087	2.116	1.658	3.49	1.542	3.525	1.983	2.296	1.635	2.493	0.928	3.148	0.91	3.351	1.53	1.374	1.055	1.293	0.429	0.452	0.453	0.441	1.159	1.073	0.44375	1.116	0.687	0.5275	0.1595	0.6465	0.487	0.6465	0.56675	0.606625	0.6265625	0.464693913	1.33407675	0.77231775	1.03724725	0.898422438	0.966244828	1.001348535	1.39408174	0.19371275	0.261045988	0.137934862	0.202445907	0.170929255	0.154616776	0.270051408
2738	19	1	24.73	27.66	25.9	10.6	2.232	2.081	2.151	1.635	3.49	1.588	3.409	2	2.238	1.6	2.377	0.887	3.206	0.904	3.38	1.559	1.339	1.142	1.177	0.446	0.481	0.441	0.412	1.194	1.096	0.445	1.145	0.6695	0.571	0.0985	0.5885	0.49	0.5885	0.53925	0.563875	0.5761875	0.46600291	1.18856325	0.845931	1.00840675	0.924743313	0.965968641	0.987036098	1.398008731	0.12218925	0.159667626	0.083953453	0.122940859	0.103729736	0.093912239	0.170821638
2775	19	1	26.43	32	26.8	12.5	2.278	2.029	2.162	1.606	3.513	1.612	3.507	1.954	2.319	1.588	2.47	0.858	3.171	0.817	3.414	1.53	1.351	1.095	1.229	0.423	0.441	0.424	0.342	1.171	1.137	0.4075	1.154	0.6755	0.5475	0.128	0.6145	0.4865	0.6145	0.5505	0.5825	0.5985	0.426733002	1.24900525	0.80279725	1.01380525	0.90420525	0.95798125	0.98563725	1.280199006	0.156544	0.190411679	0.100367602	0.147137539	0.124189545	0.112387817	0.200407473
1045	20	1	27.4	23.96	29.9	11.4	2.145	2.012	2.133	1.617	3.397	1.559	3.339	2.029	2.301	1.583	2.51	0.765	3.009	0.777	3.252	1.559	1.264	0.951	1.194	0.395	0.429	0.47	0.47	1.247	1.252	0.441	1.2495	0.632	0.4755	0.1565	0.597	0.4405	0.597	0.51875	0.557875	0.5774375	0.46181412	1.133137	0.62959825	0.86638275	0.741867438	0.802594328	0.834105848	1.38544236	0.17332375	0.232541305	0.123190879	0.180693809	0.152649273	0.138096808	0.240130065
1139	20	1	27.27	27.89	28.1	11.6	2.214	1.971	2.139	1.623	3.484	1.594	3.438	1.983	2.296	1.606	2.417	0.922	3.148	0.893	3.368	1.606	1.345	1.072	1.224	0.348	0.365	0.377	0.389	1.049	1.09	0.36975	1.0695	0.6725	0.536	0.1365	0.612	0.4755	0.612	0.54375	0.577875	0.5949375	0.387201295	1.23837025	0.76826425	0.989872	0.874410063	0.930976516	0.960133129	1.161603884	0.16496025	0.182025652	0.096218844	0.140925856	0.119023252	0.107733773	0.191618467
2329	20	1	27.53	21.99	30	18.7	2.11	1.919	2.012	1.478	3.501	1.536	3.472	2	2.174	1.443	2.4	0.794	3.258	0.846	3.368	1.536	1.489	1.194	1.362	0.441	0.476	0.464	0.464	1.125	1.154	0.46125	1.1395	0.7445	0.597	0.1475	0.681	0.5335	0.681	0.60725	0.644125	0.6625625	0.48301987	1.52504575	0.95953075	1.226727	1.087689813	1.155848641	1.190947879	1.449059611	0.19787125	0.273154982	0.144093884	0.211251608	0.17832954	0.16137591	0.286727237
2423	20	1	29.45	26.91	31.1	13.4	2.006	2.052	2.012	1.681	3.53	1.641	3.583	2.07	2.151	1.658	2.307	0.939	3.165	0.904	3.426	1.606	1.518	1.275	1.577	0.371	0.394	0.464	0.429	1.113	1.166	0.4145	1.1395	0.759	0.6375	0.1215	0.7885	0.667	0.7885	0.72775	0.758125	0.7733125	0.434063385	1.79628475	1.27650775	1.53080725	1.399966938	1.464464453	1.497405191	1.302190155	0.16967475	0.225616164	0.115234062	0.172027051	0.144031041	0.129732673	0.220948789
539	21	1	30.98	13.52	23.5	6.1	2.151	1.977	2.139	1.6	3.432	1.519	3.478	1.954	2.238	1.571	2.51	0.835	3.148	0.771	3.38	1.548	1.293	1.142	1.327	0.377	0.406	0.406	0.435	1.142	1.183	0.406	1.1625	0.6465	0.571	0.0755	0.6635	0.588	0.6635	0.62575	0.644625	0.6540625	0.425162206	1.28714725	1.007533	1.14513175	1.074907313	1.109663266	1.127308441	1.275486617	0.09192125	0.118881411	0.060379623	0.0902364	0.075459482	0.06795742	0.117244324
584	21	1	23.7	5.29	24.6	3	2.255	1.93	2.209	1.641	3.438	1.507	3.391	1.913	2.313	1.559	2.446	0.841	3.09	0.864	3.304	1.554	1.229	0.991	1.136	0.289	0.371	0.359	0.406	1.089	1.049	0.35625	1.069	0.6145	0.4955	0.119	0.568	0.449	0.568	0.5085	0.53825	0.553125	0.373064128	1.04927025	0.66960075	0.84958825	0.75605425	0.801936188	0.825540953	1.119192383	0.13209	0.141641071	0.074494191	0.109388371	0.092271466	0.083465375	0.147834122
713	21	1	26.08	28.46	30.3	12.6	2.186	1.994	2.116	1.583	3.583	1.548	3.594	2.012	2.255	1.565	2.475	0.759	3.188	0.736	3.478	1.577	1.467	1.223	1.408	0.411	0.429	0.435	0.464	1.235	1.276	0.43475	1.2555	0.7335	0.6115	0.122	0.704	0.582	0.704	0.643	0.6735	0.68875	0.455269135	1.55002225	1.06854925	1.30004425	1.18057575	1.23937975	1.269479438	1.365807406	0.16409	0.219199796	0.113807268	0.168197589	0.141425942	0.127722484	0.224115337
1923	21	1	27.26	35.83	28.3	13.2	2.023	2.041	2.035	1.652	3.449	1.594	3.496	1.994	2.168	1.612	2.4	0.846	3.136	0.812	3.386	1.571	1.414	1.218	1.473	0.389	0.429	0.423	0.4	1.195	1.182	0.41025	1.1885	0.707	0.609	0.098	0.7365	0.6385	0.7365	0.6875	0.712	0.72425	0.429612795	1.56298675	1.16740975	1.36184175	1.26222475	1.311433	1.336487313	1.288838386	0.128968	0.169944941	0.086414466	0.129211204	0.10807071	0.097307056	0.166218909
2486	26	1	26.31	12.42	28.9	6.9	2.319	1.994	2.226	1.635	3.484	1.478	3.49	1.82	2.325	1.588	2.475	0.841	3.154	0.777	3.333	1.467	1.258	1.008	1.171	0.359	0.406	0.353	0.342	1.153	1.043	0.365	1.098	0.629	0.504	0.125	0.5855	0.4605	0.5855	0.523	0.55425	0.569875	0.382227106	1.10673075	0.69816825	0.89191825	0.791137	0.840551063	0.865990516	1.146681319	0.141625	0.156163662	0.08210716	0.120628486	0.101741092	0.092017443	0.162398742
2549	26	1	27.63	27.58	27	11.5	2.22	2.041	2.128	1.704	3.472	1.542	3.426	1.896	2.255	1.646	2.394	0.933	3.171	0.875	3.368	1.507	1.344	1.113	1.206	0.337	0.395	0.389	0.354	1.108	1.021	0.36875	1.0645	0.672	0.5565	0.1155	0.603	0.4875	0.603	0.54525	0.574125	0.5885625	0.386154097	1.220409	0.81864225	1.00887075	0.910421438	0.958812328	0.983633098	1.158462291	0.14189175	0.155143877	0.081686362	0.119702967	0.101016627	0.091431985	0.164376242
2599	26	1	23.95	29.18	22.5	9.2	2.174	1.959	2.122	1.629	3.53	1.53	3.478	1.89	2.249	1.6	2.487	0.875	3.217	0.875	3.391	1.507	1.408	1.142	1.304	0.33	0.359	0.383	0.36	1.084	1.015	0.358	1.0495	0.704	0.571	0.133	0.652	0.519	0.652	0.5855	0.61875	0.635375	0.374896723	1.379728	0.891751	1.123437	1.00317175	1.062198813	1.092541516	1.12469017	0.169575	0.182940978	0.096082656	0.141169704	0.119040652	0.107665272	0.190719336
2662	26	1	23.35	17.52	23.8	7.3	2.272	1.925	2.186	1.606	3.472	1.472	3.426	1.786	2.307	1.554	2.429	0.754	3.159	0.701	3.339	1.449	1.286	1.032	1.154	0.319	0.371	0.337	0.314	1.171	1.085	0.33525	1.128	0.643	0.516	0.127	0.577	0.45	0.577	0.5135	0.54525	0.561125	0.351072979	1.117389	0.700956	0.896917	0.79490425	0.844902563	0.870657766	1.053218937	0.147193	0.146198374	0.077401762	0.113215682	0.095662625	0.086620669	0.155026455
7	27	1	26.1	24.28	30.1	11.3	2.369	2.059	2.238	1.586	3.694	1.557	3.645	2.063	2.418	1.541	2.63	0.722	3.311	0.681	3.58	1.545	1.456	1.162	1.276	0.473	0.518	0.518	0.506	1.337	1.382	0.50375	1.3595	0.728	0.581	0.147	0.638	0.491	0.638	0.5645	0.60125	0.619625	0.527525766	1.401492	0.863913	1.115283	0.98419575	1.048388813	1.081498266	1.582577299	0.192423	0.283586774	0.150982622	0.220134524	0.18627103	0.16880494	0.304524272
129	27	1	21.15	6.76	19.9	2.9	2.151	1.994	2.11	1.6	3.328	1.536	3.27	1.977	2.238	1.588	2.504	0.696	3.101	0.701	3.235	1.525	1.218	0.997	1.119	0.394	0.406	0.452	0.441	1.298	1.276	0.42325	1.287	0.609	0.4985	0.1105	0.5595	0.449	0.5595	0.50425	0.531875	0.5456875	0.443226364	1.02465675	0.67392975	0.84045325	0.754138938	0.796532953	0.818302316	1.329679091	0.12237875	0.155451453	0.081643847	0.119900626	0.101110481	0.091461725	0.162724465
542	27	1	26.89	12.14	22.5	5.3	2.151	2	2.116	1.646	3.374	1.641	3.426	2.017	2.249	1.612	2.423	0.823	3.171	0.812	3.275	1.641	1.258	1.026	1.275	0.354	0.388	0.376	0.376	1.177	1.205	0.3735	1.191	0.629	0.513	0.116	0.6375	0.5215	0.6375	0.5795	0.6085	0.623	0.391128285	1.20303475	0.80266075	0.99661275	0.89627275	0.94560175	0.970897	1.173384856	0.132472	0.156597596	0.080737483	0.119983295	0.100689328	0.09079564	0.155440639
580	27	1	23.41	12.61	27.3	5.9	2.186	1.936	2.081	1.571	3.397	1.501	3.351	1.884	2.22	1.588	2.388	0.777	3.09	0.783	3.258	1.49	1.316	1.038	1.165	0.365	0.348	0.394	0.383	1.159	1.101	0.3725	1.13	0.658	0.519	0.139	0.5825	0.4435	0.5825	0.513	0.54775	0.565125	0.390081088	1.15555525	0.69622975	0.91098475	0.798777	0.853673313	0.882027141	1.170243263	0.163603	0.179174191	0.095402327	0.139172448	0.117758435	0.106698142	0.191455309
11	29	1	29.57	26.52	36.2	14.9	2.259	2.093	2.231	1.649	3.534	1.571	3.513	2.011	2.321	1.637	2.496	0.757	3.192	0.672	3.44	1.608	1.303	1.119	1.254	0.444	0.456	0.403	0.44	1.336	1.339	0.43575	1.3375	0.6515	0.5595	0.092	0.627	0.535	0.627	0.581	0.604	0.6155	0.456316333	1.22607175	0.89859775	1.05697575	0.97567075	1.01579425	1.03625275	1.368948999	0.111412	0.149431735	0.077161267	0.114262066	0.095953058	0.08661751	0.152517346
126	29	1	29.15	26.64	29.9	12.8	2.116	2.087	2.029	1.71	3.397	1.617	3.38	2.052	2.174	1.646	2.377	0.638	3.026	0.632	3.304	1.594	1.368	1.13	1.264	0.377	0.441	0.458	0.435	1.449	1.42	0.42775	1.4345	0.684	0.565	0.119	0.632	0.513	0.632	0.5725	0.60225	0.617125	0.447938753	1.299568	0.872239	1.075729	0.97044375	1.022201313	1.048743891	1.343816258	0.148631	0.191417219	0.100266162	0.147427506	0.124243288	0.112353839	0.199732754
2544	29	1	29.79	17.55	28.8	8.9	2.116	1.901	2.058	1.67	3.53	1.612	3.484	1.919	2.197	1.617	2.412	0.887	3.252	0.852	3.386	1.548	1.472	1.189	1.368	0.231	0.284	0.371	0.307	1.014	1.067	0.29825	1.0405	0.736	0.5945	0.1415	0.684	0.5425	0.684	0.61325	0.648625	0.6663125	0.31232667	1.512976	0.97025275	1.22792425	1.094082938	1.159752203	1.193525379	0.936980009	0.18826575	0.169506945	0.089029264	0.130831475	0.110321212	0.099772949	0.176401244
2656	29	1	29.92	21.17	30.5	10.9	2.278	2.012	2.157	1.594	3.496	1.501	3.49	1.942	2.296	1.559	2.423	0.922	3.171	0.904	3.374	1.49	1.339	1.078	1.212	0.418	0.453	0.452	0.441	1.09	1.038	0.441	1.064	0.6695	0.539	0.1305	0.606	0.4755	0.606	0.54075	0.573375	0.5896875	0.46181412	1.22118325	0.77291575	0.984391	0.874395813	0.928329016	0.95609391	1.38544236	0.15770925	0.207016261	0.109354005	0.160151335	0.135244221	0.122422	0.218497076
2	31	1	27.46	30.91	28.5	12.5	2.215	1.936	2.021	1.524	3.5	1.52	3.334	1.964	2.199	1.52	2.385	0.501	3.055	0.461	3.346	1.495	1.479	1.147	1.119	0.412	0.416	0.469	0.444	1.435	1.503	0.43525	1.469	0.7395	0.5735	0.166	0.5595	0.3935	0.5595	0.4765	0.518	0.53875	0.455792734	1.27365075	0.70941675	0.96281575	0.82922725	0.89429925	0.928126938	1.367378202	0.217958	0.257173758	0.141676335	0.202565002	0.172905657	0.157487243	0.298031018
164	31	1	28.17	37.93	29.8	15	2.052	2.261	1.948	1.768	3.403	1.641	3.409	2.243	2.139	1.768	2.243	0.939	2.968	0.864	3.299	1.646	1.455	1.16	1.357	0.493	0.493	0.597	0.602	1.322	1.379	0.54625	1.3505	0.7275	0.58	0.1475	0.6785	0.531	0.6785	0.60475	0.641625	0.6600625	0.572031662	1.48322725	0.926341	1.19029225	1.052877563	1.120225141	1.154918754	1.716094987	0.19285625	0.318556567	0.167568095	0.246173647	0.2076487	0.187802855	0.330959644
1399	31	1	29.42	35.26	32.9	15.9	2.255	2.168	2.099	1.606	3.484	1.606	3.42	2.145	2.255	1.594	2.545	0.777	3.159	0.742	3.316	1.559	1.385	1.061	1.165	0.562	0.574	0.586	0.539	1.391	1.403	0.56525	1.397	0.6925	0.5305	0.162	0.5825	0.4205	0.5825	0.5015	0.542	0.56225	0.591928416	1.22224375	0.68132575	0.92975275	0.79897825	0.86272525	0.895828938	1.775785247	0.198126	0.320184735	0.173133734	0.250542877	0.212809216	0.193214203	0.351829228
