image,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,Top_out_dia,Top_in_dia,Bottom_out_dia,Nec_H1,Nec_H2,Nec_H3,Nec_H4,Ov_H1,Ov_H2,Nec_H_avg,Ov_H_avg,Top_out_rad,Top_in_rad,Nec_thickness,Bottom_out_rad,Bottom_in_rad,Bottom_in_rad_A,Bottom_in_rad_B,Bottom_in_rad_C,Bottom_in_rad_D,FVol_A,FVol_B,FVol_C,FVol_C1,FVol_C2,FVol_C3,FVol_C4,CVol_A,CVol_B,Frustrum_Vol,Frustrum_Vol_A,Frustrum_Vol_B,Frustrum_Vol_C,Frustrum_Vol_D,Cylinder_Vol
0011,2.243,1.867,2.128,1.461,3.496,1.472,3.426,1.896,2.255,1.472,2.435,0.591,3.043,0.557,3.357,1.478,1.368,1.102,1.183,0.406,0.395,0.418,0.424,1.276,1.339,0.41075,1.3075,0.684,0.551,0.133,0.5915,0.4585,0.5915,0.525,0.55825,0.574875,0.430136394154,1.22231425,0.76645675,0.97938975,0.868501,0.9228398125,0.950838390625,1.29040918246,0.164255,0.196080901298,0.104490668482,0.152187955559,0.128814854688,0.116771647251,0.211956160265
0012,2.307,2.087,2.18,1.577,3.467,1.525,3.333,2.075,2.313,1.542,2.539,0.742,3.142,0.719,3.322,1.53,1.287,1.009,1.026,0.51,0.545,0.545,0.55,1.345,1.356,0.5375,1.3505,0.6435,0.5045,0.139,0.513,0.374,0.513,0.4435,0.47825,0.495625,0.562868683768,1.00737675,0.58307925,0.77649775,0.67495825,0.7245204375,0.750207203125,1.6886060513,0.159572,0.238823775351,0.12995455884,0.187107963555,0.159210960312,0.144752684355,0.269454244819
0013,2.272,2.145,2.122,1.67,3.53,1.583,3.461,2.075,2.29,1.646,2.464,0.591,3.165,0.562,3.374,1.588,1.408,1.084,1.189,0.475,0.499,0.487,0.492,1.554,1.513,0.48825,1.5335,0.704,0.542,0.162,0.5945,0.4325,0.5945,0.5135,0.554,0.57425,0.511294204372,1.26757425,0.71523525,0.96941325,0.83576325,0.900948,0.9347705625,1.53388261312,0.201852,0.282407729548,0.15244799127,0.220782461684,0.187453876796,0.170160596612,0.309617273223
0014,2.29,2.133,2.18,1.774,3.438,1.594,3.478,2.075,2.336,1.71,2.528,0.881,3.119,0.835,3.316,1.594,1.258,0.98,1.188,0.359,0.423,0.481,0.481,1.252,1.24,0.436,1.246,0.629,0.49,0.139,0.594,0.455,0.594,0.5245,0.55925,0.576625,0.456578132322,1.122103,0.670075,0.883996,0.77220525,0.8268930625,0.855142640625,1.36973439697,0.155541,0.206386099997,0.108714449353,0.159755661199,0.134786401907,0.121888262287,0.213049857838
0015,2.214,2.029,2.104,1.565,3.432,1.559,3.397,2.041,2.238,1.559,2.446,0.649,3.038,0.661,3.299,1.571,1.328,1.061,1.183,0.464,0.47,0.47,0.482,1.38,1.38,0.4715,1.38,0.664,0.5305,0.1335,0.5915,0.458,0.5915,0.52475,0.558125,0.5748125,0.493753645389,1.18352425,0.73416325,0.94509325,0.8351726875,0.889019078125,0.916777691406,1.48126093617,0.15946575,0.221873631846,0.117726175424,0.171999853861,0.145413002199,0.131707085701,0.236210386132
0016,2.162,1.988,2.075,1.588,3.438,1.53,3.472,1.936,2.301,1.641,2.504,0.713,3.055,0.69,3.299,1.548,1.363,0.998,1.31,0.4,0.347,0.388,0.406,1.275,1.246,0.38525,1.2605,0.6815,0.499,0.1825,0.655,0.4725,0.655,0.56375,0.609375,0.6321875,0.403432856598,1.33984975,0.70803475,1.004871,0.8481263125,0.924417015625,0.964123597656,1.2102985698,0.21544125,0.254894930292,0.135141434012,0.198377391047,0.167599214753,0.151580274939,0.26074823675
0017,1.907,2.139,1.838,1.6,3.072,1.606,2.951,2.232,1.959,1.612,2.035,0.678,2.638,0.643,2.962,1.635,1.234,1.003,1.044,0.539,0.527,0.597,0.626,1.461,1.589,0.57225,1.525,0.617,0.5015,0.1155,0.522,0.4065,0.522,0.46425,0.493125,0.5075625,0.599258798672,0.975247,0.62060425,0.78576925,0.6998516875,0.741976703125,0.763664535156,1.79777639602,0.12918675,0.212522788323,0.11354620884,0.165033064129,0.139789277871,0.126792653702,0.232248889828
0018,2.191,2.058,1.994,1.554,3.351,1.571,3.322,2.058,2.203,1.652,2.301,0.62,2.939,0.545,3.229,1.6,1.357,1.026,1.131,0.504,0.406,0.458,0.487,1.438,1.513,0.46375,1.4755,0.6785,0.513,0.1655,0.5655,0.4,0.5655,0.48275,0.524125,0.5448125,0.485637864367,1.16384425,0.628369,0.87306075,0.7438673125,0.806752140625,0.839478472656,1.4569135931,0.19719325,0.260047056832,0.141215477933,0.203956703011,0.173417449379,0.157524303383,0.287293526393
0019,2.232,1.954,2.18,1.53,3.536,1.536,3.409,1.959,2.359,1.559,2.516,0.759,3.246,0.742,3.374,1.565,1.356,1.015,1.177,0.424,0.395,0.394,0.423,1.195,1.217,0.409,1.206,0.678,0.5075,0.1705,0.5885,0.418,0.5885,0.50325,0.545875,0.5671875,0.428303798439,1.20501925,0.64441525,0.90255225,0.7662161875,0.832567328125,0.867105566406,1.28491139532,0.20212775,0.24010882262,0.129547765003,0.187941018436,0.159522572875,0.144729714228,0.259716249285
0020,2.267,2.209,2.157,1.693,3.438,1.606,3.397,2.11,2.313,1.681,2.51,0.904,3.119,0.893,3.299,1.617,1.281,0.986,1.13,0.516,0.528,0.493,0.504,1.305,1.217,0.51025,1.261,0.6405,0.493,0.1475,0.565,0.4175,0.565,0.49125,0.528125,0.5465625,0.534332550498,1.09134775,0.62318275,0.840819,0.7265618125,0.782330640625,0.811234878906,1.60299765149,0.16719125,0.250155798504,0.133865665961,0.19491700037,0.1651179002,0.149673424839,0.2680071811
0021,2.243,1.977,2.18,1.565,3.507,1.53,3.409,1.977,2.33,1.594,2.539,0.701,3.194,0.684,3.397,1.559,1.327,1.067,1.166,0.412,0.383,0.418,0.447,1.276,1.293,0.415,1.2845,0.6635,0.5335,0.13,0.583,0.453,0.583,0.518,0.5505,0.56675,0.434586983747,1.16694175,0.73150675,0.93554175,0.82929925,0.88136425,0.9081889375,1.30376095124,0.15561,0.189234383268,0.100563428039,0.14673503566,0.124108264351,0.11245060432,0.202878241622
0022,2.423,2.174,2.336,1.693,3.646,1.606,3.606,2.157,2.481,1.67,2.667,0.58,3.275,0.574,3.513,1.594,1.31,1.032,1.183,0.481,0.504,0.563,0.551,1.594,1.583,0.52475,1.5885,0.655,0.516,0.139,0.5915,0.4525,0.5915,0.522,0.55675,0.574125,0.54951691499,1.16632975,0.70450225,0.92134225,0.808092,0.8635095625,0.892124015625,1.64855074497,0.162769,0.253782023058,0.134624775211,0.196857703213,0.166404815232,0.150680689226,0.268332956208
0023,2.243,1.901,2.151,1.559,3.461,1.559,3.374,1.965,2.388,1.623,2.499,0.69,3.13,0.707,3.322,1.629,1.31,0.934,1.131,0.342,0.278,0.336,0.406,1.211,1.258,0.3405,1.2345,0.655,0.467,0.188,0.5655,0.3775,0.5655,0.4715,0.5185,0.542,0.356570766182,1.11921775,0.53688775,0.80196775,0.66059175,0.72907075,0.764967,1.06971229855,0.210936,0.207641854271,0.113122075571,0.163532624211,0.139115014714,0.126315461348,0.225640833406
0024,2.075,1.936,1.994,1.565,3.31,1.571,3.217,2.0,2.214,1.583,2.377,0.725,2.968,0.713,3.154,1.629,1.316,0.94,1.142,0.371,0.353,0.371,0.429,1.211,1.287,0.381,1.249,0.658,0.47,0.188,0.571,0.383,0.571,0.477,0.524,0.5475,0.398982267006,1.134723,0.547599,0.815311,0.672619,0.741756,0.77798125,1.19694680102,0.212064,0.234252064534,0.127439723869,0.184371301512,0.156786864519,0.142333632151,0.253829326411
0025,2.006,1.983,1.954,1.571,3.287,1.559,3.229,1.994,2.157,1.53,2.429,0.736,3.003,0.672,3.171,1.583,1.333,1.014,1.223,0.412,0.453,0.411,0.435,1.247,1.322,0.42775,1.2845,0.6665,0.507,0.1595,0.6115,0.452,0.6115,0.53175,0.571625,0.5915625,0.447938752524,1.22571925,0.690517,0.94101175,0.8094043125,0.873618015625,0.906917378906,1.34381625757,0.18717325,0.239737828213,0.127531522384,0.186483593761,0.157719787688,0.14280371244,0.251526456333
0026,2.325,2.017,2.174,1.583,3.362,1.478,3.351,1.925,2.371,1.571,2.475,0.643,3.043,0.609,3.258,1.496,1.188,0.887,1.026,0.434,0.446,0.429,0.447,1.374,1.316,0.439,1.345,0.594,0.4435,0.1505,0.513,0.3625,0.513,0.43775,0.475375,0.4941875,0.459719724975,0.920727,0.48886725,0.68737675,0.5824594375,0.633502453125,0.660085691406,1.37915917493,0.15614375,0.198534445498,0.107275712753,0.155508270801,0.132042789696,0.119821950704,0.21534708542
0027,2.133,2.012,2.087,1.612,3.426,1.548,3.357,2.012,2.249,1.554,2.475,0.707,3.165,0.684,3.316,1.559,1.339,1.067,1.224,0.4,0.458,0.453,0.464,1.305,1.328,0.44375,1.3165,0.6695,0.5335,0.136,0.612,0.476,0.612,0.544,0.578,0.595,0.464693913343,1.23250825,0.76514425,0.98566825,0.87078225,0.92706925,0.95607975,1.39408174003,0.163608,0.217181206116,0.11470504557,0.168091870498,0.141935644198,0.128454641425,0.228082925323
0028,2.29,2.023,2.203,1.554,3.31,1.565,3.362,1.977,2.348,1.577,2.551,0.725,3.09,0.701,3.246,1.588,1.107,0.898,1.072,0.469,0.446,0.389,0.412,1.298,1.276,0.429,1.287,0.5535,0.449,0.1045,0.536,0.4315,0.536,0.48375,0.509875,0.5229375,0.449247749463,0.89033425,0.58153675,0.729561,0.6528188125,0.690507390625,0.709863566406,1.34774324839,0.10476125,0.138726581915,0.0722270207364,0.10670327576,0.0897717668565,0.0810760484486,0.14119126738
0029,2.174,2.017,2.099,1.623,3.386,1.583,3.397,1.994,2.278,1.617,2.458,0.684,3.003,0.69,3.293,1.588,1.287,1.015,1.223,0.394,0.4,0.406,0.411,1.333,1.304,0.40275,1.3185,0.6435,0.5075,0.136,0.6115,0.4755,0.6115,0.5435,0.5775,0.5945,0.421758813744,1.18152475,0.72497275,0.94182475,0.82877475,0.88414375,0.91269525,1.26527644123,0.156536,0.192554829933,0.101095587655,0.148775421548,0.12542305779,0.11338121102,0.198061313005
0030,2.075,1.913,2.029,1.525,3.38,1.478,3.31,1.901,2.203,1.501,2.417,0.626,3.02,0.586,3.241,1.478,1.351,1.038,1.235,0.388,0.412,0.423,0.423,1.287,1.315,0.4115,1.301,0.6755,0.519,0.1565,0.6175,0.461,0.6175,0.53925,0.578375,0.5979375,0.430921792317,1.25472775,0.721141,0.97114975,0.8400223125,0.904055265625,0.937219816406,1.29276537695,0.18693925,0.229934158667,0.122199940022,0.178705610411,0.151112415483,0.136821087819,0.241668589993
0031,2.243,2.017,2.128,1.565,3.304,1.53,3.281,1.948,2.296,1.571,2.47,0.678,3.026,0.643,3.183,1.554,1.176,0.887,1.038,0.452,0.446,0.394,0.418,1.339,1.305,0.4275,1.322,0.588,0.4435,0.1445,0.519,0.3745,0.519,0.44675,0.482875,0.5009375,0.447676953137,0.920277,0.50303325,0.69622975,0.5944114375,0.644015578125,0.669796410156,1.34303085941,0.14905175,0.186790410715,0.100300790239,0.145882502152,0.123675871614,0.112134387281,0.200181099899
0032,2.151,1.983,2.012,1.525,3.229,1.507,3.13,2.046,2.209,1.588,2.272,0.713,2.899,0.672,3.09,1.594,1.217,0.881,0.979,0.458,0.395,0.452,0.539,1.27,1.374,0.461,1.322,0.6085,0.4405,0.168,0.4895,0.3215,0.4895,0.4055,0.4475,0.4685,0.482758071102,0.90774325,0.43902325,0.64927525,0.53709325,0.59142025,0.61990675,1.4482742133,0.176232,0.226278363087,0.124777513121,0.178934279054,0.152707481325,0.138955393533,0.255232261159
0033,2.261,2.035,2.226,1.658,3.351,1.577,3.374,1.901,2.307,1.617,2.452,0.864,3.09,0.823,3.258,1.571,1.125,0.951,1.113,0.377,0.418,0.33,0.324,1.171,1.078,0.36225,1.1245,0.5625,0.4755,0.087,0.5565,0.4695,0.5565,0.513,0.53475,0.545625,0.379347312921,0.93912975,0.66977775,0.80040825,0.73320075,0.7663314375,0.783251578125,1.13804193876,0.090306,0.10217795743,0.0526236282694,0.0781186128025,0.0655505755242,0.0591319656438,0.102772015322
0034,2.365,2.0,2.284,1.641,3.554,1.583,3.496,2.017,2.435,1.629,2.609,0.893,3.183,0.858,3.432,1.588,1.27,0.997,1.131,0.359,0.371,0.429,0.434,1.107,1.159,0.39825,1.133,0.635,0.4985,0.1365,0.5655,0.429,0.5655,0.49725,0.531375,0.5484375,0.417046424764,1.08210775,0.64639975,0.85019425,0.7436389375,0.795752078125,0.822682035156,1.25113927429,0.15472275,0.181710463641,0.0967186960295,0.141157208147,0.119423609166,0.108192566867,0.193579709151
0035,2.133,1.832,2.058,1.391,3.386,1.374,3.339,1.82,2.203,1.455,2.359,0.562,3.02,0.545,3.293,1.38,1.328,1.09,1.206,0.441,0.377,0.44,0.446,1.27,1.275,0.426,1.2725,0.664,0.545,0.119,0.603,0.484,0.603,0.5435,0.57325,0.588125,0.44610615681,1.204897,0.795061,0.989269,0.88862475,0.9380618125,0.963444140625,1.33831847043,0.143871,0.182830362882,0.0961929783806,0.141090997953,0.119036819997,0.107713607147,0.192545216659
0036,2.261,1.768,2.157,1.414,3.252,1.281,3.229,1.612,2.278,1.42,2.377,0.62,2.922,0.574,3.148,1.31,1.095,0.87,0.968,0.354,0.348,0.302,0.331,1.148,1.038,0.33375,1.093,0.5475,0.435,0.1125,0.484,0.3715,0.484,0.42775,0.455875,0.4699375,0.349502182712,0.79900225,0.48883975,0.634021,0.5582663125,0.595352640625,0.614489066406,1.04850654814,0.11053125,0.108402470745,0.0576613069815,0.0841377356134,0.071175982985,0.0644877604051,0.115892739399
0037,2.093,2.07,2.017,1.623,3.449,1.588,3.403,2.104,2.214,1.583,2.423,0.574,3.096,0.58,3.328,1.594,1.432,1.114,1.31,0.447,0.487,0.51,0.516,1.496,1.524,0.49,1.51,0.716,0.557,0.159,0.655,0.496,0.655,0.5755,0.61525,0.635125,0.513126800086,1.410661,0.832537,1.104109,0.96200275,1.0314758125,1.06739739063,1.53938040026,0.202407,0.296650918173,0.15730004682,0.230218572155,0.194570081902,0.176137757465,0.311581368675
0038,2.255,1.959,2.116,1.455,3.438,1.432,3.299,2.0,2.249,1.472,2.47,0.591,3.02,0.557,3.316,1.449,1.322,1.067,1.044,0.504,0.487,0.551,0.568,1.368,1.443,0.5275,1.4055,0.661,0.5335,0.1275,0.522,0.3945,0.522,0.45825,0.490125,0.5060625,0.552396708256,1.054447,0.65071825,0.83559325,0.7390916875,0.786326453125,0.810705847656,1.65719012477,0.15229875,0.223018432528,0.12089409109,0.174201236556,0.14810890751,0.134641810221,0.252387984515
0039,2.504,1.896,2.383,1.501,3.525,1.449,3.362,1.948,2.539,1.455,2.632,0.667,3.212,0.696,3.362,1.449,1.142,0.823,0.858,0.395,0.441,0.499,0.499,1.229,1.252,0.4585,1.2405,0.571,0.4115,0.1595,0.429,0.2695,0.429,0.34925,0.389125,0.4090625,0.480140077224,0.755041,0.35286175,0.52990675,0.4350241875,0.480875453125,0.504993597656,1.44042023167,0.15670875,0.193102376153,0.108095976181,0.153652897067,0.131637866849,0.120057779071,0.22572645398
0040,2.139,2.041,1.977,1.687,3.333,1.612,3.304,2.0,2.238,1.67,2.307,0.812,2.939,0.748,3.194,1.577,1.356,0.956,1.165,0.354,0.371,0.423,0.388,1.229,1.252,0.384,1.2405,0.678,0.478,0.2,0.5825,0.3825,0.5825,0.4825,0.5325,0.5575,0.402123859659,1.19392525,0.55762525,0.84622525,0.69192525,0.76657525,0.80577525,1.20637157898,0.2312,0.255871411901,0.139818466004,0.201866177549,0.171847631425,0.156084376127,0.27891310906
0041,2.214,2.133,2.093,1.664,3.345,1.675,3.194,2.128,2.232,1.641,2.499,0.794,3.055,0.759,3.27,1.646,1.252,1.038,0.98,0.469,0.492,0.482,0.453,1.339,1.369,0.474,1.354,0.626,0.519,0.107,0.49,0.383,0.49,0.4365,0.46325,0.476625,0.496371639267,0.938716,0.614827,0.763771,0.68643675,0.7243883125,0.743900765625,1.4891149178,0.122515,0.160769313871,0.0868377364316,0.125224264876,0.106386185585,0.0967007572409,0.182438914154
0042,2.046,2.151,1.907,1.623,3.472,1.536,3.409,2.075,2.11,1.594,2.377,0.742,3.055,0.748,3.258,1.548,1.565,1.148,1.363,0.528,0.557,0.527,0.539,1.409,1.327,0.53775,1.368,0.7825,0.574,0.2085,0.6815,0.473,0.6815,0.57725,0.629375,0.6554375,0.563130483156,1.61002225,0.824707,1.18509925,0.9940350625,1.08685014063,1.13529544141,1.68939144947,0.28283025,0.442234956162,0.239287094294,0.346881162515,0.294614162726,0.26733313709,0.477811006001
0043,2.22,1.942,2.145,1.559,3.443,1.507,3.345,1.907,2.284,1.554,2.441,0.812,3.107,0.788,3.328,1.513,1.298,1.044,1.125,0.383,0.388,0.394,0.4,1.13,1.119,0.39125,1.1245,0.649,0.522,0.127,0.5625,0.4355,0.5625,0.499,0.53075,0.546625,0.409716041906,1.10266975,0.68947525,0.88251525,0.781963,0.8312310625,0.856621140625,1.22914812572,0.148717,0.169292415077,0.0902008303477,0.131398700222,0.111212784663,0.10081006235,0.182795221812
0044,2.07,2.174,2.029,1.617,3.316,1.606,3.252,2.145,2.203,1.606,2.388,0.759,2.887,0.742,3.159,1.641,1.287,0.956,1.182,0.557,0.568,0.504,0.539,1.415,1.403,0.542,1.409,0.6435,0.478,0.1655,0.591,0.4255,0.591,0.50825,0.549625,0.5703125,0.567581072749,1.14368175,0.61292325,0.860263,0.7297455625,0.793292390625,0.826349722656,1.70274321825,0.18560825,0.3012484788,0.160863118162,0.234942345351,0.198874368474,0.180111652497,0.316043188938
0045,2.255,1.994,2.162,1.536,3.467,1.449,3.409,1.959,2.284,1.542,2.475,0.586,3.113,0.551,3.38,1.455,1.305,1.096,1.154,0.458,0.452,0.504,0.51,1.408,1.408,0.481,1.408,0.6525,0.548,0.1045,0.577,0.4725,0.577,0.52475,0.550875,0.5639375,0.503702022126,1.13517775,0.78249025,0.949429,0.8632295625,0.905646765625,0.927367253906,1.51110606638,0.12545225,0.177649406928,0.0935620209823,0.136980851957,0.11561522097,0.104674567101,0.189571656016
0046,2.261,1.988,2.162,1.519,3.449,1.443,3.414,1.971,2.284,1.53,2.458,0.655,3.136,0.58,3.38,1.443,1.287,1.096,1.153,0.469,0.458,0.528,0.528,1.333,1.391,0.49575,1.362,0.6435,0.548,0.0955,0.5765,0.481,0.5765,0.52875,0.552625,0.5645625,0.519148186006,1.11742225,0.795253,0.94857825,0.8696355625,0.908536890625,0.928415066406,1.55744455802,0.11378825,0.167253581724,0.0876550563179,0.128638009332,0.108442455403,0.0981227365047,0.177218890729
0047,2.365,2.064,2.319,1.641,3.583,1.223,3.507,1.849,2.412,1.559,2.557,0.667,3.142,0.632,3.409,1.264,1.264,0.997,1.142,0.423,0.505,0.585,0.626,1.397,1.217,0.53475,1.307,0.632,0.4985,0.1335,0.571,0.4375,0.571,0.50425,0.537625,0.5543125,0.559988890502,1.086337,0.65800225,0.85918675,0.7541389375,0.805548953125,0.832089378906,1.67996667151,0.15092175,0.239862701416,0.127201616475,0.186027224446,0.157238186836,0.142375843249,0.253543510006
0048,2.168,1.872,2.064,1.496,3.443,1.501,3.391,1.948,2.284,1.507,2.475,0.638,3.055,0.603,3.351,1.53,1.379,1.067,1.223,0.376,0.365,0.418,0.447,1.234,1.345,0.4015,1.2895,0.6895,0.5335,0.156,0.6115,0.4555,0.6115,0.5335,0.5725,0.592,0.420449816805,1.27097175,0.73511175,0.98478975,0.85386675,0.91780725,0.95091825,1.26134945042,0.190788,0.225302238833,0.120325169473,0.175371720839,0.148487949327,0.134566435443,0.240650338946
0049,2.377,2.041,2.272,1.6,3.513,1.548,3.501,2.029,2.388,1.577,2.516,0.777,3.212,0.707,3.391,1.536,1.241,1.003,1.124,0.441,0.464,0.493,0.481,1.264,1.322,0.46975,1.293,0.6205,0.5015,0.119,0.562,0.443,0.562,0.5025,0.53225,0.547125,0.491921049675,1.04958525,0.66991575,0.84918925,0.75601225,0.8017156875,0.825231203125,1.47576314902,0.133518,0.186767418969,0.0985790106706,0.144414738316,0.121932255367,0.110364478237,0.197040944131
0050,2.284,2.035,2.22,1.623,3.386,1.548,3.357,1.919,2.301,1.594,2.522,0.823,3.072,0.765,3.281,1.519,1.166,0.98,1.073,0.412,0.441,0.4,0.371,1.212,1.154,0.406,1.183,0.583,0.49,0.093,0.5365,0.4435,0.5365,0.49,0.51325,0.524875,0.425162205786,0.94050075,0.65410725,0.79081725,0.7203,0.7550180625,0.772782515625,1.27548661736,0.099789,0.121763692183,0.0636397670297,0.0936210365857,0.0788602285526,0.0713074544774,0.127279534059
0051,2.261,1.994,2.151,1.6,3.403,1.623,3.322,2.064,2.272,1.641,2.522,0.835,3.107,0.794,3.287,1.623,1.252,1.015,1.061,0.394,0.353,0.441,0.441,1.159,1.27,0.40725,1.2145,0.626,0.5075,0.1185,0.5305,0.412,0.5305,0.47125,0.500875,0.5156875,0.426471202725,1.00539925,0.63639025,0.80821525,0.7187921875,0.762626078125,0.785201253906,1.27941360817,0.13431975,0.157371712046,0.0840932976381,0.122229658654,0.103535766599,0.0939081042317,0.171850515997
