Marker,Chr,cM
100013_7519086,1,49.497
100013_7476489,1,49.823
100013_7440977,1,50.149
100013_7440602,1,50.149
100013_7416023,1,50.8025
100013_7065838,1,51.8695
100013_7057171,1,51.8695
100013_7057141,1,51.8695
100013_7057092,1,51.8695
100013_6996064,1,52.277
100013_6838574,1,54.861
100013_6838199,1,54.861
100013_6742534,1,55.5165
100013_6742497,1,55.5165
100013_6742485,1,55.5165
100013_6742414,1,55.5165
100013_6742381,1,55.5165
100013_6635848,1,58.099
100013_6614680,1,58.099
100013_6501309,1,58.4255
100013_6378768,1,60.497
100013_6332184,1,61.731
100013_6316780,1,61.894
100013_6156291,1,62.2195
100013_6156120,1,62.2195
100013_6123633,1,62.301
100013_6097406,1,62.5455
100013_6097253,1,62.5455
100013_6097235,1,62.5455
100013_6097227,1,62.5455
100013_5754845,1,65.9095
100013_5754797,1,65.9095
100013_5633757,1,66.646
100013_5630500,1,66.646
100013_5607827,1,67.054
100013_5556169,1,67.543
100013_5396298,1,70.901
100013_5372276,1,71.227
100013_5288439,1,72.7955
100013_5195520,1,73.535
100013_5195508,1,73.535
100013_5195501,1,73.535
100013_5195447,1,73.535
100013_5195441,1,73.535
100013_5079289,1,74.1065
100013_5006899,1,74.3515
100013_5006862,1,74.3515
100013_5006857,1,74.3515
100013_5006749,1,74.3515
100013_5006724,1,74.3515
100013_4945737,1,75.419
100013_4945613,1,75.419
100013_4943092,1,75.419
100013_4837373,1,76.1545
100013_4595671,1,78.652
100013_4595115,1,78.7335
100013_4439669,1,80.3005
100013_4437419,1,80.3005
100013_4380617,1,80.872
100013_4380613,1,80.872
100013_4175378,1,82.188
100013_4004522,1,83.172
100013_3938513,1,83.9085
100013_3938405,1,83.9895
100013_3938381,1,83.9895
100013_3893554,1,85.5565
100013_3877127,1,85.5565
100013_3745384,1,86.706
100013_3650158,1,87.608
100013_3650147,1,87.608
100013_3650146,1,87.608
100013_3650143,1,87.608
100013_3430795,1,89.685
100013_3421047,1,91.1725
100013_3228735,1,92.4055
100013_2854889,1,93.9715
100013_2746910,1,94.708
100013_2727378,1,95.034
100013_2727366,1,95.034
100013_2621730,1,96.517
100013_2599248,1,96.517
100013_2599239,1,96.517
100013_2576889,1,96.5985
100013_2515420,1,97.088
100013_2514952,1,97.088
100013_2460683,1,97.1695
100013_2342070,1,99.072
100013_2302365,1,99.072
100013_2282066,1,99.48
100013_2225053,1,100.8795
100013_2225045,1,100.961
100013_2225043,1,100.961
100013_2225041,1,100.961
100013_2224847,1,101.042
100013_2156592,1,102.976
100013_2156558,1,102.976
100013_2156557,1,102.976
100013_2156550,1,102.976
100013_2156521,1,102.976
100013_2156514,1,102.976
100013_2156512,1,102.976
100013_2156508,1,102.976
100013_2156346,1,103.7945
100013_2156330,1,103.7945
100013_2156318,1,103.7945
100013_2156241,1,103.7945
100013_1697194,1,106.38
100013_1697032,1,106.38
100013_1684260,1,106.4615
100013_1684210,1,106.4615
100013_1684081,1,106.4615
100013_1684071,1,106.5425
100013_1642708,1,106.5425
100013_1642667,1,106.5425
100013_1642658,1,106.5425
100013_1642520,1,106.6235
100013_1642263,1,106.6235
100013_1642242,1,106.6235
100013_1642205,1,106.6235
100013_1633419,1,107.0315
100013_1603746,1,107.1125
100013_1583294,1,107.6845
100013_1551000,1,108.2555
100013_1470858,1,108.9105
100013_1161489,1,111.244
100013_771638,1,113.667
100013_771513,1,113.7485
100013_771510,1,113.7485
100013_514252,1,114.9825
100013_514240,1,114.9825
100013_514219,1,114.9825
100013_514207,1,114.9825
100013_514155,1,115.064
100013_514129,1,115.064
100013_514085,1,115.064
100013_514078,1,115.064
100013_514067,1,115.064
100013_514028,1,115.064
100013_343637,1,117.9975
100013_343530,1,118.4065
100013_322182,1,119.474
100013_307018,1,119.637
100013_214533,1,119.7995
100013_214532,1,119.8805
100013_214503,1,119.8805
100013_214316,1,119.8805
100013_98277,1,119.8805
100029_6347785,1,119.962
100029_6163605,1,122.976
100029_5853349,1,125.8175
100029_5834965,1,126.1425
100029_5808898,1,126.1425
100029_5808887,1,126.1425
100029_5808742,1,126.1425
100029_5267552,1,130.204
100029_3309529,1,137.359
100029_2733046,1,138.0135
100029_2732961,1,138.0135
100029_2568901,1,138.0945
100029_2384888,1,138.0945
100029_2384871,1,138.0945
100029_2038869,1,138.0945
100029_2038849,1,138.0945
100029_2038651,1,138.0945
100029_2038647,1,138.0945
100029_1979421,1,138.176
100029_1979249,1,138.176
100029_1979181,1,138.176
100029_1850999,1,138.176
100029_1643277,1,138.176
100029_1643012,1,138.176
100029_1557323,1,138.5015
100029_1557296,1,138.5015
100029_1516933,1,138.5015
100029_1438592,1,138.5015
100029_1438589,1,138.5015
100029_1438519,1,138.5015
100029_993924,1,138.5015
100029_721323,1,138.5015
100029_646821,1,138.5015
100029_628676,1,138.5015
100029_433888,1,138.5015
100029_372241,1,138.5015
100029_114423,1,138.5015
100029_114382,1,138.5015
100053_90172,1,138.5015
100053_87818,1,138.5015
100094_3149531,1,138.5015
100094_2991001,1,138.5015
100094_2986088,1,138.5015
100094_2901971,1,138.5015
100094_2901920,1,138.5015
100094_2901908,1,138.5015
100094_2886600,1,138.5015
100094_2186408,1,139.568
100094_1738047,1,140.304
100094_1735544,1,140.385
100094_1564715,1,140.793
100094_1134919,1,142.6955
100094_1092395,1,144.095
100094_329190,1,145.5775
100094_234934,1,146.8105
100094_234867,1,146.8105
100094_163513,1,147.136
100094_163415,1,147.136
100094_163336,1,147.136
100094_163271,1,147.136
100094_129974,1,147.299
100094_127666,1,147.4615
100094_117121,1,147.951
100049_212860,1,148.77
100049_217796,1,148.77
100049_217899,1,148.77
100049_280246,1,148.851
100049_397722,1,149.505
100049_397725,1,149.505
100049_670569,1,150.2405
100049_704741,1,150.6485
100014_37499,1,151.056
100014_37621,1,151.056
100014_585241,1,151.137
100014_639049,1,151.2185
100014_952829,1,152.953
100014_1006107,1,153.361
100014_1090719,1,153.6055
100014_1090757,1,153.6055
100014_1379554,1,155.8495
100014_1453216,1,156.4215
100014_1506242,1,156.6655
100014_1506272,1,156.6655
100014_1748427,1,157.319
100014_1881519,1,158.6355
100014_1881523,1,158.6355
100014_1881575,1,158.6355
100014_1979001,1,158.7165
100014_1979018,1,158.7165
100014_2313324,1,162.2505
100014_2490660,1,163.985
100014_2650077,1,164.886
100014_2653758,1,164.886
100014_2664692,1,164.967
100014_2729435,1,165.457
100014_2759520,1,165.5385
100014_2759543,1,165.5385
100014_2759576,1,165.701
100014_2759580,1,165.701
100014_2759581,1,165.701
100014_2759584,1,165.701
100014_2759587,1,165.701
100014_2759589,1,165.701
100014_2759688,1,165.701
100014_2773044,1,165.946
100014_2832730,1,166.518
100014_2832758,1,166.518
100014_2832759,1,166.518
100014_2832782,1,166.518
100014_2832906,1,166.518
100014_2832907,1,166.518
100014_2859614,1,166.681
100014_2859615,1,166.681
100014_2865312,1,166.762
100014_2865542,1,166.762
100014_2979538,1,167.0875
100014_3012582,1,168.078
100014_3012589,1,168.078
100014_3012608,1,168.078
100014_3012614,1,168.078
100014_3012616,1,168.078
100014_3012618,1,168.078
100014_3012629,1,168.078
100014_3012640,1,168.078
100014_3098865,1,170.0755
100014_3098943,1,170.157
100014_3098961,1,170.157
100014_3098989,1,170.2385
100014_3116670,1,171.139
100014_3116701,1,171.139
100014_3270292,1,171.465
100014_3270443,1,171.465
100014_3270448,1,171.465
100014_3271990,1,171.465
100014_3272067,1,171.465
100014_3272083,1,171.465
100014_3272180,1,172.1195
100014_3272203,1,172.1195
100014_3272229,1,172.1195
100014_3272238,1,172.1195
100014_3272261,1,172.1195
100014_3272271,1,172.1195
100014_3272283,1,172.1195
100014_3272371,1,172.1195
100014_3272439,1,172.1195
100014_3275758,1,172.6115
100014_3275809,1,172.6115
100014_3281555,1,172.7745
100014_3281759,1,172.8555
100014_3431910,1,173.018
100014_3431963,1,173.018
100014_3432080,1,173.018
100014_3617937,1,175.43
100014_3617961,1,175.43
100014_3921997,1,176.747
100014_4060525,1,176.747
100014_4110680,1,176.747
100014_4110917,1,176.747
100014_4110921,1,176.747
100014_4139962,1,176.747
100014_4151249,1,176.8285
100014_4151318,1,176.8285
100014_4151339,1,176.8285
100014_4234967,1,176.8285
100014_4235039,1,176.9095
100014_4236781,1,176.9095
100014_4236784,1,176.9095
100014_4236805,1,176.9095
100014_4236842,1,176.9095
100014_4245152,1,176.991
100014_4245174,1,176.991
100014_4245185,1,176.991
100014_4400845,1,177.1535
100014_4400928,1,177.1535
100014_4580960,1,181.0355
100014_4636568,1,181.6895
100014_4669824,1,182.839
100014_4771829,1,183.9075
100014_4771901,1,183.9075
100014_4772706,1,183.989
100014_4785875,1,184.5605
100014_4803415,1,184.5605
100014_4803457,1,184.5605
100014_4926378,1,185.1325
100014_4966655,1,185.2955
100014_4976859,1,185.703
100014_4976919,1,185.703
100014_4977134,1,185.703
100014_5013266,1,185.703
100014_5013308,1,185.703
100014_5033139,1,185.703
100014_5048027,1,186.193
100014_5048254,1,186.193
100014_5092043,1,186.601
100014_5565496,1,189.1825
100014_5609041,1,189.509
100014_5650455,1,189.9165
100014_5676957,1,191.904
100014_5676981,1,191.904
100014_5781188,1,192.64
100014_5800196,1,192.7215
100014_5901292,1,192.9655
100014_5901295,1,192.9655
100014_5901511,1,192.9655
100014_5901551,1,193.047
100014_6049987,1,193.618
100014_6145504,1,195.1015
100014_6145521,1,195.1015
100014_6247924,1,196.4175
100014_6247968,1,196.4175
100014_6248003,1,196.4175
100014_6368826,1,197.401
100014_6368856,1,197.401
100014_6488602,1,197.6455
100014_6488624,1,197.6455
100014_6493396,1,197.7265
100014_6493456,1,197.7265
100014_6493576,1,197.7265
100014_6599654,1,200.824
100014_6599714,1,200.824
100014_6699306,1,201.643
100014_6744626,1,201.805
100014_6820336,1,202.955
100014_6820348,1,202.955
100014_7159656,1,208.5345
100014_7173161,1,209.1885
100014_7194128,1,210.09
100014_7194129,1,210.09
100014_7194130,1,210.09
100014_7194131,1,210.09
100014_7194132,1,210.09
100014_7194133,1,210.09
100014_7194134,1,210.09
100014_7194135,1,210.09
100014_7194136,1,210.09
100014_7194412,1,210.09
100014_7276238,1,212.0845
100014_7460428,1,214.2415
100014_7541451,1,215.4745
100014_7541457,1,215.4745
100014_7541518,1,215.4745
100014_7558036,1,215.6365
100014_7558114,1,215.6365
100014_7594227,1,217.203
100014_7594247,1,217.203
100014_7604671,1,217.6115
100014_7641369,1,217.9385
100014_7641462,1,217.9385
100014_7657092,1,217.9385
100014_8057288,1,222.5285
100014_8139182,1,223.182
100014_8139214,1,223.182
100014_8139425,1,223.182
100014_8228316,1,224.249
100014_8269417,1,224.6565
100014_8293413,1,224.9825
100014_8313489,1,225.0635
100014_8349962,1,225.0635
100014_8350081,1,225.0635
100014_8365012,1,225.308
100014_8370308,1,225.308
100014_8370463,1,225.308
100014_8450279,1,226.5405
100014_8474836,1,226.5405
100014_8490227,1,226.5405
100014_8511126,1,226.7845
100014_8568395,1,227.0295
100014_8568431,1,227.0295
100014_8568449,1,227.0295
100014_8568461,1,227.0295
100014_8568464,1,227.0295
100014_8568467,1,227.0295
100014_8568477,1,227.0295
100014_8568549,1,227.0295
100014_8568584,1,227.0295
100014_8568602,1,227.0295
100014_8568708,1,227.1925
100014_8568728,1,227.1925
100014_8568755,1,227.1925
100014_8568818,1,227.1925
100014_8568821,1,227.1925
100014_8568827,1,227.2735
100014_8580745,1,227.2735
100014_8654243,1,229.008
100014_8703953,1,229.6615
100014_8919389,1,231.566
100014_8955484,1,232.22
100014_8972612,1,232.3825
100014_8975082,1,232.3825
100014_9173761,1,234.3695
100014_9268437,1,235.3545
100014_9305956,1,236.671
100014_9355203,1,237.407
100014_9355379,1,237.407
100014_9355457,1,237.407
100014_9355486,1,237.407
100014_9425304,1,238.392
100014_9596377,1,239.542
100014_9608462,1,240.1955
100014_9608479,1,240.1955
100014_9662582,1,241.0965
100014_9662739,1,241.0965
100014_9684882,1,241.0965
100014_9762711,1,241.9155
100014_9762732,1,241.9155
100014_9780991,1,242.2405
100014_9781882,1,242.2405
100014_9785442,1,242.2405
100014_9785475,1,242.2405
100014_9785506,1,242.2405
100014_9958793,1,244.152
100014_9958794,1,244.152
100014_10068426,1,245.567
100014_10177831,1,246.139
100014_10217551,1,246.2205
100014_10268710,1,246.6285
100014_10269573,1,246.6285
100014_10462691,1,248.8695
100014_10512046,1,249.441
100014_10535879,1,249.767
100014_10563170,1,250.5035
100014_10563171,1,250.5035
100014_10635948,1,251.6535
100014_10765150,1,254.236
100014_10765249,1,254.236
100014_10777771,1,255.054
100014_10777817,1,255.054
100014_10814336,1,256.038
100014_10855159,1,256.2815
100014_10875272,1,256.6895
100014_10883112,1,256.9335
100014_10955517,1,258.502
100014_10955519,1,258.502
100014_10955625,1,258.502
100014_10955642,1,258.502
100014_10964283,1,258.502
100014_10991296,1,258.828
100014_11007263,1,258.991
100014_11158729,1,260.3905
100014_11202692,1,260.9625
100014_11218638,1,261.044
100014_11218657,1,261.044
100014_11430678,1,264.839
100014_11449220,1,264.92
100014_11449305,1,264.92
100014_11449335,1,264.92
100014_11449344,1,264.92
100014_11490485,1,265.4915
100014_11490502,1,265.4915
100014_11490520,1,265.4915
100014_11490770,1,265.573
100014_11607651,1,265.654
100014_11607668,1,265.654
100014_11607679,1,265.654
100014_11667901,1,265.98
100014_11668154,1,265.98
100014_11668178,1,265.98
100014_11673307,1,265.98
100014_11779788,1,266.143
100014_11779810,1,266.143
100014_11779857,1,266.143
100014_11780066,1,266.143
100014_11780081,1,266.143
100014_11808543,1,266.224
100014_11868008,1,267.291
100014_11868017,1,267.291
100014_11946046,1,267.6985
100014_11946047,1,267.6985
100014_11946079,1,267.6985
100014_11946103,1,267.6985
100014_11946303,1,267.6985
100014_11946314,1,267.6985
100014_11999284,1,268.1885
100014_11999293,1,268.1885
100014_11999311,1,268.1885
100014_12003935,1,268.3515
100014_12004001,1,268.3515
100014_12004009,1,268.3515
100014_12004043,1,268.3515
100014_12004125,1,268.3515
100014_12011873,1,268.514
100014_12012012,1,268.514
100014_12012021,1,268.514
100014_12012022,1,268.514
100014_12145052,1,268.514
100014_12145057,1,268.514
100014_12173149,1,268.514
100014_12173166,1,268.514
100014_12185715,1,268.514
100014_12185757,1,268.514
100014_12185774,1,268.514
100006_130391,2,0
100006_142211,2,0
100006_237860,2,0.0815
100006_237953,2,0.0815
100006_238219,2,0.0815
100006_238289,2,0.0815
100006_238296,2,0.0815
100006_238305,2,0.0815
100006_355854,2,0.0815
100006_619521,2,0.4885
100006_656049,2,0.57
100006_723003,2,0.9775
100006_723174,2,0.9775
100006_824613,2,1.9625
100006_824662,2,1.9625
100006_824674,2,1.9625
100006_886943,2,1.9625
100006_890425,2,1.9625
100006_939414,2,1.9625
100006_992457,2,2.616
100006_1029525,2,3.352
100006_1076768,2,4.336
100006_1144745,2,4.7445
100006_1295806,2,5.398
100006_1328552,2,5.724
100006_1328698,2,5.724
100006_1328710,2,5.724
100006_1328711,2,5.724
100006_1376473,2,5.8055
100006_1412583,2,5.8055
100006_1448669,2,6.131
100006_1448885,2,6.131
100006_1547145,2,6.7855
100006_1580803,2,7.2745
100006_1580866,2,7.2745
100006_1594556,2,8.0925
100006_1594580,2,8.0925
100006_1594663,2,8.0925
100006_1594708,2,8.0925
100006_1594754,2,8.0925
100006_1594841,2,8.0925
100006_1597321,2,8.174
100006_1597898,2,8.174
100006_1602112,2,8.174
100006_1602546,2,8.174
100006_1602547,2,8.174
100006_1602648,2,8.2555
100006_1602660,2,8.2555
100006_1602669,2,8.2555
100006_1602676,2,8.2555
100006_1611594,2,8.4185
100006_1616399,2,8.6625
100006_1706606,2,9.8955
100006_1726531,2,10.9635
100006_1726688,2,10.9635
100006_1820993,2,10.9635
100006_1895121,2,10.9635
100006_1904285,2,10.9635
100006_1904311,2,10.9635
100006_1932390,2,11.045
100006_1977296,2,11.2885
100006_1977322,2,11.2885
100006_1977343,2,11.2885
100006_1977347,2,11.2885
100006_2037290,2,11.6965
100006_2175477,2,12.186
100006_2199230,2,12.186
100006_2199323,2,12.186
100006_2255848,2,12.186
100006_2309701,2,12.3485
100006_2321106,2,12.6745
100006_2353297,2,13.0005
100006_2379951,2,13.49
100006_2489162,2,16.6735
100006_2490445,2,16.8365
100006_2490501,2,16.8365
100006_2501805,2,16.918
100006_2503101,2,16.999
100006_2553801,2,17.4065
100006_2553994,2,17.4065
100006_2561644,2,17.5695
100006_2595846,2,17.732
100006_2597044,2,17.732
100006_2645261,2,17.813
100006_2690753,2,18.0575
100006_2690792,2,18.0575
100006_2692273,2,18.5495
100006_2692440,2,18.5495
100006_2692457,2,18.5495
100006_2692493,2,18.5495
100006_2692516,2,18.5495
100006_2692518,2,18.5495
100006_2692523,2,18.5495
100006_2856775,2,20.454
100006_2856828,2,20.454
100006_2856914,2,20.454
100006_2892375,2,20.943
100006_2903139,2,21.762
100006_2903294,2,21.762
100006_3103797,2,22.4975
100006_3103928,2,22.4975
100006_3202343,2,23.481
100006_3202369,2,23.481
100006_3219117,2,23.5625
100006_3504310,2,28.599
100006_3549886,2,29.667
100006_3564979,2,29.667
100006_3565039,2,29.667
100006_3572164,2,29.667
100006_3572194,2,29.667
100006_3575419,2,29.748
100006_3609951,2,29.748
100006_3609976,2,29.748
100006_3633323,2,30.402
100006_3633324,2,30.402
100006_3633376,2,30.402
100006_3646135,2,30.8095
100006_3646177,2,30.8095
100006_3666560,2,30.8095
100006_3697138,2,30.891
100006_3697190,2,30.891
100006_3697263,2,31.135
100006_3697269,2,31.135
100006_3697279,2,31.135
100006_3697339,2,31.135
100006_3822076,2,32.451
100006_3822145,2,32.451
100006_3822166,2,32.451
100006_3838444,2,32.695
100006_3965719,2,32.9395
100006_3965934,2,33.102
100006_3988749,2,33.102
100006_3993737,2,33.1835
100006_3993853,2,33.1835
100006_3993929,2,33.1835
100006_4000575,2,33.428
100006_4083109,2,34
100006_4083153,2,34
100006_4147149,2,34.736
100006_4158547,2,34.736
100006_4158642,2,34.736
100006_4247381,2,35.7195
100006_4347274,2,35.801
100006_4355177,2,36.702
100006_4398618,2,36.702
100006_4398620,2,36.702
100006_4409728,2,36.783
100006_4435448,2,37.3555
100006_4455246,2,38.009
100006_4455316,2,38.009
100006_4738502,2,43.1385
100006_4751874,2,43.1385
100006_4770226,2,43.1385
100006_4850317,2,43.4645
100006_4850318,2,43.4645
100006_4850540,2,43.4645
100006_4850608,2,43.4645
100006_4850629,2,43.4645
100006_4850631,2,43.4645
100006_4850635,2,43.4645
100006_4911842,2,43.546
100006_4911866,2,43.546
100006_4911876,2,43.546
100006_4911905,2,43.546
100006_5050003,2,43.546
100006_5224918,2,46.7295
100006_5269734,2,47.879
100006_5326083,2,48.615
100006_5327719,2,48.615
100006_5533750,2,49.931
100006_5533791,2,49.931
100006_5533825,2,49.931
100006_5650322,2,51.4155
100006_5848591,2,53.8265
100006_5848633,2,53.8265
100006_5848801,2,53.8265
100006_5848828,2,53.8265
100006_6052371,2,55.9015
100006_6052586,2,55.9015
100006_6107639,2,56.5555
100006_6187827,2,57.2085
100006_6221728,2,57.3715
100006_6222186,2,57.3715
100006_6289780,2,58.0255
100006_6289908,2,58.0255
100006_6318252,2,58.3505
100006_6318296,2,58.3505
100006_6345774,2,59.087
100006_6578075,2,62.8
100006_6611069,2,62.8815
100006_6658902,2,63.0445
100006_6872528,2,65.0315
100006_7113403,2,67.957
100006_7114710,2,67.957
100006_7119020,2,68.038
100006_7128516,2,68.2825
100006_7237803,2,69.7655
100006_7237804,2,69.7655
100006_7269446,2,70.091
100006_7269510,2,70.091
100006_7269729,2,70.9925
100006_7269731,2,70.9925
100006_7269732,2,70.9925
100006_7269734,2,70.9925
100006_7269741,2,70.9925
100006_7269742,2,70.9925
100006_7269743,2,70.9925
100006_7269748,2,70.9925
100006_7269752,2,70.9925
100006_7269754,2,70.9925
100006_7272138,2,72.31
100006_7294599,2,72.8815
100006_7294671,2,72.8815
100006_7343630,2,73.6175
100006_7424298,2,75.103
100006_7445436,2,75.103
100006_7557453,2,75.6745
100006_7579308,2,76.2465
100006_7593220,2,76.573
100006_7606903,2,77.0625
100006_7720284,2,77.798
100006_7720311,2,77.798
100006_7720316,2,77.798
100006_7834771,2,78.865
100006_7901962,2,79.766
100006_7912089,2,79.766
100006_7939406,2,79.766
100006_7939584,2,79.766
100006_7979329,2,79.929
100006_8003887,2,80.501
100006_8003901,2,80.501
100006_8003988,2,80.501
100006_8019526,2,81.0725
100006_8019566,2,81.0725
100006_8019594,2,81.0725
100006_8019624,2,81.0725
100006_8019778,2,81.0725
100006_8019808,2,81.0725
100006_8177277,2,82.3885
100006_8178607,2,82.47
100006_8178689,2,82.47
100006_8292280,2,83.9525
100006_8292494,2,83.9525
100006_8729476,2,88.808
100006_8791002,2,88.889
100006_8861296,2,89.7905
100006_8884324,2,90.1165
100006_8947879,2,92.02
100006_8949824,2,92.02
100006_8949830,2,92.02
100006_8949921,2,92.02
100006_8950000,2,92.02
100006_9005491,2,92.3455
100006_9054359,2,92.9995
100006_9161801,2,94.651
100006_9183712,2,95.0585
100006_9315647,2,96.374
100006_9358759,2,97.193
100006_9358823,2,97.193
100006_9358839,2,97.193
100006_9358875,2,97.193
100006_9362808,2,97.274
100006_9385803,2,97.274
100006_9400105,2,97.3555
100006_9432383,2,97.764
100006_9525521,2,98.665
100006_9584836,2,100.568
100006_9974548,2,102.4705
100006_9994208,2,103.2065
100006_10690052,2,105.7035
100006_10693581,2,106.526
100006_10885757,2,107.2625
100006_11008508,2,107.425
100006_11074456,2,108.658
100006_11115478,2,109.3935
100006_11115479,2,109.3935
100006_11115490,2,109.3935
100006_11115545,2,109.3935
100006_11499222,2,112.233
100006_11516862,2,112.3145
100006_11594640,2,112.3145
100006_11594807,2,112.3145
100006_11874253,2,112.6405
100006_11874273,2,112.6405
100006_12184017,2,113.0475
100006_12236602,2,113.374
100006_13040513,2,115.3675
100006_13040514,2,115.3675
100006_13040520,2,115.3675
100006_13040522,2,115.3675
100006_13040528,2,115.3675
100006_13040539,2,115.3675
100006_13040543,2,115.3675
100006_13040581,2,115.3675
100006_13040649,2,115.3675
100006_13040687,2,115.3675
100006_13040688,2,115.3675
100006_13040692,2,115.3675
100006_13040703,2,115.3675
100006_13040865,2,116.024
100006_13040919,2,116.024
100006_13214840,2,116.9245
100006_13240781,2,116.9245
100006_13240826,2,116.9245
100006_13240962,2,116.9245
100006_13686772,2,117.0875
100006_13688109,2,117.0875
100006_13688276,2,117.0875
100006_14032400,2,117.169
100006_14084795,2,117.2505
100006_14084805,2,117.2505
100006_14886661,2,118.1515
100043_390502,2,118.233
100043_575131,2,118.477
100043_657818,2,118.477
100032_169144,2,118.477
100032_256502,2,118.477
100032_256561,2,118.5585
100032_1909637,2,118.7215
100032_1909639,2,118.7215
100032_2094856,2,118.7215
100032_2673953,2,118.7215
100032_2703154,2,118.7215
100032_2764705,2,118.7215
100032_3244461,2,119.0475
100032_3244706,2,119.2095
100032_3883669,2,123.3545
100032_4000376,2,124.008
100032_4021411,2,124.334
100032_4021440,2,124.334
100032_4021582,2,124.334
100032_4021621,2,124.334
100032_4272207,2,124.334
100032_4470842,2,124.907
100032_4470887,2,124.907
100032_4470888,2,124.907
100032_4470928,2,124.907
100032_4471006,2,124.907
100032_4471018,2,124.907
100032_4471088,2,124.907
100027_7694831,2,126.143
100027_7551202,2,126.143
100027_7482563,2,126.2245
100027_7482378,2,126.2245
100027_7454490,2,126.2245
100027_7433204,2,126.387
100027_7431727,2,126.387
100027_7431708,2,126.387
100027_7153866,2,130.71
100027_7153712,2,130.71
100027_6776208,2,133.377
100027_6776199,2,133.377
100027_6776196,2,133.377
100027_6776180,2,133.377
100027_6776061,2,133.377
100027_6776057,2,133.377
100027_6776039,2,133.377
100027_6743467,2,133.7845
100027_6529141,2,138.5505
100027_6387407,2,139.617
100027_6311037,2,139.78
100027_5864491,2,142.7065
100027_5864420,2,142.7065
100027_5745382,2,143.608
100027_5728390,2,144.0155
100027_5674258,2,144.5875
100027_5674253,2,144.5875
100027_5654616,2,145.9035
100027_5618800,2,145.9035
100027_5339793,2,150.0575
100027_5339774,2,150.0575
100027_5249444,2,150.794
100027_5249321,2,151.12
100027_5200718,2,151.3645
100027_5157023,2,151.3645
100027_5157015,2,151.3645
100027_5017914,2,152.348
100027_4972871,2,152.511
100027_4972654,2,152.511
100027_4970034,2,152.8365
100027_4935506,2,153.655
100027_4935499,2,153.655
100027_4913259,2,153.899
100027_4892417,2,154.062
100027_4892203,2,154.062
100027_4865348,2,154.3875
100027_4748084,2,156.2075
100027_4585373,2,158.8745
100027_4439914,2,160.4425
100027_4218726,2,162.9405
100027_4200150,2,162.9405
100027_4200090,2,162.9405
100027_4189427,2,163.676
100027_4152653,2,164.826
100027_4150085,2,165.153
100027_4150036,2,165.153
100027_3739999,2,168.8595
100027_3602417,2,169.185
100027_3597552,2,169.43
100027_3464883,2,170.831
100027_3464826,2,170.831
100027_3464799,2,170.831
100027_3456145,2,171.0755
100027_3369124,2,174.609
100027_3369113,2,174.609
100027_3157037,2,175.8415
100027_3157009,2,175.8415
100027_2724150,2,181.6915
100027_2617087,2,183.8525
100027_2608654,2,183.8525
100027_2608643,2,183.8525
100027_2416833,2,185.924
100027_1939411,2,190.511
100027_1861012,2,191.6645
100027_1861010,2,191.6645
100027_1860856,2,191.6645
